	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0937	0.0622	-0.0064	-0.0047	0.0027	-0.0044	-0.0022	-0.0038	0.008	0.016	-0.0052	-0.0056	0.011	0.0	-0.0003	-0.004	-0.0056	-0.0057	-0.0052	0.0254	0.0018	0.0008	-0.0058	0.0726	0.0011	0.1157	-0.0046	-0.0058	-0.0053	-0.0054	-0.0034	-0.005	0.0051	0.0095	0.0033	0.0441	0.0119	-0.0027	-0.0035	-0.0033	-0.0055	0.0206	0.003	-0.0061	0.0337	0.0062	0.0323	-0.0049	-0.0054	0.0018	0.0122	0.0036	-0.0039	0.0183	-0.0034	0.0017	0.0027	-0.0032	-0.0011	0.0017	0.0072	-0.0031	-0.0003	-0.0037	-0.0037	-0.0052	-0.0045	0.012	-0.0035	-0.0011	-0.0055	-0.0054	0.0255	0.017	-0.0055	-0.0033	-0.0045	0.0029	-0.0053	-0.0039	-0.0048	-0.0054	-0.0017	-0.0051	-0.0049	-0.0037	0.0013	-0.005	0.0028	0.0211	-0.0049	-0.0012	0.0248	0.0132	-0.0052	-0.0043	0.0199	-0.0051	0.0211	0.0145
direct_vc_estimate_se	0.2301	0.0872	0.0648	0.0592	0.0577	0.0567	0.0533	0.063	0.052	0.0532	0.0526	0.0534	0.0505	0.0505	0.0518	0.0513	0.0526	0.0545	0.0503	0.0571	0.0496	0.0527	0.0575	0.0538	0.0513	0.0577	0.0536	0.0554	0.0511	0.0522	0.0505	0.052	0.0501	0.0514	0.0516	0.0531	0.051	0.0502	0.0515	0.0491	0.0516	0.0521	0.0527	0.0577	0.0517	0.055	0.0537	0.0568	0.051	0.0494	0.059	0.051	0.0486	0.0527	0.0507	0.0508	0.0506	0.0547	0.0532	0.0527	0.0511	0.0584	0.0506	0.0531	0.0514	0.0491	0.0494	0.0529	0.0509	0.0514	0.052	0.0511	0.0496	0.0527	0.0529	0.0513	0.054	0.0529	0.0505	0.0527	0.0501	0.0531	0.0507	0.049	0.0539	0.0585	0.0511	0.0503	0.0507	0.0495	0.0498	0.0499	0.0501	0.0522	0.0518	0.05	0.0525	0.049	0.0522	0.0495
direct_vc_pvals	0.101	0.053	0.83	0.703	0.384	0.72	0.575	0.617	0.277	0.141	0.867	0.932	0.215	0.464	0.495	0.678	0.982	0.926	0.913	0.078	0.4	0.437	0.867	0.006	0.461	0.001	0.736	0.957	0.941	0.922	0.663	0.822	0.317	0.224	0.335	0.028	0.198	0.609	0.666	0.677	0.994	0.093	0.354	0.982	0.049	0.258	0.062	0.713	0.985	0.412	0.197	0.337	0.693	0.126	0.639	0.401	0.379	0.635	0.51	0.413	0.276	0.573	0.495	0.67	0.653	0.989	0.788	0.18	0.671	0.47	0.997	0.962	0.082	0.127	0.907	0.641	0.772	0.316	0.928	0.711	0.81	0.886	0.543	0.944	0.782	0.623	0.371	0.844	0.376	0.113	0.856	0.507	0.085	0.182	0.892	0.753	0.13	0.913	0.087	0.154
upper95_perm_direct	0.1755	0.0707	0.0429	0.0419	0.0394	0.0412	0.0377	0.0441	0.0374	0.0385	0.0419	0.0372	0.0415	0.0411	0.0443	0.0384	0.0363	0.0394	0.0413	0.0374	0.0359	0.0393	0.0438	0.0395	0.0434	0.0417	0.0393	0.0415	0.0384	0.0407	0.0353	0.0329	0.035	0.0391	0.0383	0.0356	0.0382	0.0375	0.0422	0.0389	0.0382	0.0348	0.0367	0.0458	0.0377	0.0371	0.0404	0.0363	0.0382	0.0346	0.04	0.0363	0.0363	0.0384	0.0343	0.038	0.0384	0.0407	0.0351	0.0411	0.0388	0.0402	0.0376	0.0402	0.0402	0.0384	0.0346	0.0384	0.0363	0.0354	0.0373	0.0353	0.0399	0.0339	0.0411	0.0362	0.0429	0.0355	0.0376	0.0403	0.0354	0.0377	0.0347	0.037	0.0384	0.0397	0.0369	0.0318	0.0346	0.039	0.0358	0.0378	0.0357	0.0383	0.0389	0.0442	0.0415	0.04	0.0345	0.0372
lower0_perm_direct	-0.0319	-0.0132	-0.0091	-0.0081	-0.0079	-0.0081	-0.0073	-0.0093	-0.0074	-0.0074	-0.0072	-0.0076	-0.0071	-0.0072	-0.007	-0.0077	-0.0073	-0.0076	-0.0071	-0.0081	-0.0071	-0.0075	-0.0081	-0.008	-0.0073	-0.0082	-0.0075	-0.0076	-0.0071	-0.0075	-0.0071	-0.0073	-0.007	-0.007	-0.0073	-0.0076	-0.0076	-0.0071	-0.0074	-0.007	-0.0073	-0.0073	-0.008	-0.0081	-0.0073	-0.0075	-0.0077	-0.0078	-0.0072	-0.0073	-0.0084	-0.0072	-0.0066	-0.0079	-0.0071	-0.007	-0.007	-0.008	-0.0079	-0.0074	-0.0074	-0.0084	-0.0072	-0.0081	-0.0073	-0.0068	-0.0069	-0.0073	-0.0072	-0.0072	-0.0075	-0.0073	-0.0067	-0.0075	-0.0076	-0.007	-0.0077	-0.0074	-0.0073	-0.0074	-0.007	-0.0075	-0.007	-0.0075	-0.0076	-0.0083	-0.0078	-0.007	-0.0072	-0.0076	-0.0074	-0.007	-0.0071	-0.008	-0.0077	-0.0071	-0.0079	-0.0067	-0.0078	-0.0074
sad_vc_estimate	0.2025	0.2363	0.0027	-0.0027	0.0202	-0.0017	0.0113	-0.0064	-0.0018	0.0225	-0.0054	-0.0051	0.0067	0.0046	0.0024	-0.0051	-0.0055	-0.006	-0.0011	0.0744	-0.0031	0.0071	0.0001	0.0929	0.007	0.0782	-0.0051	-0.0051	-0.0048	-0.0052	-0.0052	-0.0059	-0.0014	0.0032	-0.0037	0.0197	0.0071	-0.003	-0.005	-0.0008	-0.0032	0.0427	-0.0054	-0.0064	0.0772	0.0425	0.0208	0.0004	-0.0057	0.004	0.0214	0.0003	-0.0053	0.0205	-0.0057	-0.0003	-0.0047	0.0067	-0.0018	-0.0004	-0.005	0.0208	-0.002	-0.0041	-0.0039	-0.0056	0.0031	0.0389	-0.0049	-0.0022	-0.0035	-0.0019	0.0265	0.0218	-0.0031	-0.0058	-0.0048	0.0081	-0.0048	0.0018	-0.0052	-0.0057	-0.0054	-0.0052	-0.0055	-0.005	0.0063	-0.005	-0.0016	0.0369	-0.0052	-0.0022	0.0325	0.0107	-0.0051	-0.0043	0.0186	-0.005	-0.0001	0.0038
sad_vc_estimate_se	0.2446	0.0934	0.0694	0.0634	0.0617	0.0605	0.057	0.0668	0.0558	0.0568	0.0562	0.057	0.0542	0.0542	0.0555	0.055	0.0563	0.0582	0.054	0.0607	0.0532	0.0563	0.0612	0.0575	0.055	0.0614	0.0573	0.059	0.0547	0.0559	0.0541	0.0557	0.0537	0.055	0.0552	0.0568	0.0547	0.0539	0.0551	0.0527	0.0552	0.0557	0.0562	0.0613	0.0553	0.0587	0.0573	0.0604	0.0547	0.0531	0.0626	0.0546	0.0521	0.0564	0.0543	0.0544	0.0541	0.0583	0.0567	0.0563	0.0548	0.0619	0.0542	0.0566	0.055	0.0527	0.0529	0.0566	0.0544	0.0549	0.0556	0.0547	0.0532	0.0564	0.0565	0.0548	0.0575	0.0565	0.0541	0.0563	0.0536	0.0568	0.0543	0.0526	0.0576	0.062	0.0547	0.0538	0.0543	0.053	0.0535	0.0534	0.0538	0.0558	0.0554	0.0535	0.0561	0.0525	0.0558	0.053
sad_vc_pvals	0.06	0.001	0.425	0.614	0.155	0.562	0.225	0.859	0.573	0.142	0.836	0.816	0.346	0.362	0.453	0.81	0.861	0.915	0.57	0.016	0.647	0.304	0.489	0.005	0.307	0.008	0.794	0.761	0.797	0.828	0.845	0.98	0.543	0.397	0.654	0.129	0.326	0.622	0.793	0.548	0.633	0.056	0.826	0.921	0.011	0.048	0.153	0.485	0.954	0.371	0.145	0.496	0.891	0.163	0.962	0.513	0.773	0.334	0.555	0.514	0.797	0.149	0.582	0.692	0.707	0.981	0.39	0.041	0.772	0.572	0.663	0.574	0.102	0.11	0.645	0.979	0.778	0.292	0.781	0.431	0.851	0.871	0.854	0.846	0.811	0.737	0.288	0.787	0.536	0.089	0.836	0.59	0.08	0.258	0.813	0.753	0.143	0.841	0.467	0.391
upper95_perm_sad	0.253	0.0815	0.0607	0.0576	0.0515	0.0569	0.0466	0.0593	0.0559	0.0512	0.0583	0.0638	0.0515	0.05	0.0528	0.0433	0.0492	0.054	0.0532	0.0497	0.0497	0.0484	0.0602	0.0546	0.0547	0.044	0.0523	0.0491	0.0489	0.0488	0.0519	0.0464	0.0392	0.0447	0.0488	0.0467	0.0495	0.0521	0.0462	0.0468	0.0426	0.0524	0.0444	0.0511	0.0539	0.0482	0.0469	0.0539	0.0419	0.0459	0.0521	0.055	0.0428	0.0547	0.0431	0.0444	0.0496	0.0549	0.05	0.0454	0.0447	0.0521	0.0483	0.0464	0.0507	0.0439	0.0424	0.0416	0.0469	0.0458	0.0412	0.0552	0.0463	0.043	0.0446	0.05	0.0535	0.0476	0.0486	0.0514	0.0454	0.0507	0.0455	0.0493	0.0491	0.0569	0.0431	0.0488	0.0497	0.0603	0.0464	0.043	0.0497	0.0501	0.0459	0.0493	0.0481	0.0498	0.0395	0.0458
lower0_perm_sad	-0.0373	-0.0129	-0.0097	-0.009	-0.0085	-0.0086	-0.0079	-0.0096	-0.0077	-0.0079	-0.008	-0.0085	-0.0073	-0.008	-0.008	-0.0076	-0.0086	-0.0082	-0.0075	-0.0088	-0.0076	-0.008	-0.0092	-0.0088	-0.0077	-0.0086	-0.0079	-0.0087	-0.0077	-0.0077	-0.0077	-0.0082	-0.0076	-0.0077	-0.0077	-0.008	-0.0075	-0.0075	-0.0078	-0.0073	-0.008	-0.0077	-0.0081	-0.0086	-0.0079	-0.0083	-0.008	-0.009	-0.0075	-0.008	-0.0088	-0.0076	-0.0074	-0.0081	-0.0076	-0.0081	-0.0077	-0.0088	-0.0078	-0.0079	-0.0078	-0.0085	-0.0074	-0.0078	-0.0078	-0.0075	-0.0072	-0.008	-0.0082	-0.0077	-0.0076	-0.0076	-0.0076	-0.0086	-0.008	-0.0083	-0.0081	-0.0077	-0.0076	-0.0081	-0.0074	-0.0081	-0.0077	-0.008	-0.0088	-0.0087	-0.0077	-0.0075	-0.0076	-0.0073	-0.0075	-0.0073	-0.0081	-0.0079	-0.0079	-0.0073	-0.0082	-0.0076	-0.0084	-0.0075
