	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0098	0.0053	0.0037	0.0053	0.0006	-0.0016	0.0078	0.0056	-0.0016	-0.0015	-0.0011	0.0038	-0.0013	-0.0015	-0.0015	0.0007	0.0017	0.0038	0.002	0.0038	0.0137	0.0047	0.0052	0.0114	0.0015	0.0083	-0.0014	0.0047	0.0407	0.0029	-0.0003	-0.0005	0.0015	0.0	0.006	-0.0002	-0.0009	-0.0016	0.0364	-0.0003	0.0011	0.0071	0.002	0.001	0.0007	-0.0013	-0.0008	0.0081	0.0005	-0.0014	-0.0001	-0.0013	-0.0012	0.0115	0.0007	0.0236	0.0005	-0.0014	0.0398	-0.0015	-0.0006	0.0173	0.0015	-0.0002	0.0	0.0049	0.0006	0.0053	0.0281	-0.0014	-0.0012	0.0198	-0.0007	0.0003	0.0013	0.0101	-0.0008	0.006	0.0027	0.0004	0.0039	-0.0003	-0.0013	0.0049	0.0004	0.0019	0.006	0.0031	0.0019	-0.0009	0.0061	0.0166	0.0036	-0.0015	0.0002	-0.0013	0.0147	0.0061	0.001	-0.0005
direct_vc_estimate_se	0.0226	0.0097	0.0069	0.0072	0.0066	0.0065	0.0073	0.0076	0.0068	0.0065	0.006	0.0063	0.006	0.0065	0.0071	0.0062	0.0073	0.0065	0.0063	0.0062	0.0059	0.0068	0.0066	0.006	0.0075	0.0061	0.0057	0.006	0.0062	0.0062	0.0063	0.0056	0.0065	0.006	0.0067	0.006	0.006	0.007	0.0059	0.0064	0.0057	0.0069	0.0064	0.0055	0.0058	0.0056	0.0057	0.006	0.0062	0.006	0.0059	0.0058	0.0065	0.006	0.0056	0.0056	0.0055	0.0055	0.0061	0.0061	0.0061	0.0057	0.006	0.0065	0.0059	0.0061	0.0061	0.0063	0.0059	0.0064	0.0059	0.0056	0.0061	0.0061	0.0059	0.0055	0.0055	0.0057	0.006	0.0058	0.0055	0.0054	0.0051	0.0056	0.0057	0.0054	0.0055	0.0062	0.0064	0.0056	0.0058	0.0056	0.0049	0.0061	0.0055	0.0057	0.006	0.0058	0.0059	0.0048
direct_vc_pvals	0.543	0.347	0.368	0.215	0.456	0.963	0.366	0.337	0.884	0.879	0.759	0.456	0.825	0.882	0.83	0.553	0.643	0.267	0.545	0.266	0.059	0.279	0.296	0.146	0.514	0.121	0.939	0.27	0.01	0.433	0.615	0.611	0.437	0.609	0.313	0.573	0.664	0.834	0.023	0.592	0.467	0.258	0.376	0.531	0.49	0.894	0.651	0.243	0.534	0.862	0.624	0.868	0.803	0.097	0.492	0.026	0.405	0.921	0.005	0.94	0.704	0.007	0.435	0.635	0.616	0.318	0.528	0.287	0.039	0.859	0.758	0.055	0.662	0.566	0.39	0.056	0.702	0.137	0.331	0.569	0.179	0.615	0.94	0.211	0.485	0.361	0.252	0.314	0.525	0.707	0.257	0.032	0.217	0.978	0.548	0.899	0.05	0.144	0.415	0.712
upper95_perm_direct	0.0993	0.0326	0.0221	0.0189	0.0148	0.0171	0.046	0.0281	0.0255	0.0219	0.0213	0.0247	0.0212	0.0204	0.0249	0.0244	0.0672	0.0163	0.0426	0.0166	0.0173	0.021	0.0242	0.0228	0.0334	0.0152	0.0149	0.0204	0.0266	0.0284	0.0148	0.0164	0.0236	0.0242	0.0289	0.0203	0.0142	0.0195	0.0314	0.0155	0.018	0.0272	0.0186	0.0212	0.0183	0.021	0.0135	0.0266	0.0231	0.0171	0.0242	0.0244	0.0199	0.0178	0.0155	0.0215	0.0112	0.0146	0.0217	0.0215	0.0256	0.0108	0.0202	0.0319	0.0222	0.0259	0.0193	0.0227	0.0299	0.0252	0.0135	0.0247	0.0173	0.0224	0.018	0.0128	0.0158	0.0127	0.0149	0.0185	0.0122	0.0154	0.0248	0.0148	0.0173	0.015	0.0212	0.0189	0.0287	0.0131	0.0241	0.0153	0.0127	0.0147	0.0155	0.0221	0.0171	0.0139	0.015	0.0196
lower0_perm_direct	-0.0084	-0.0036	-0.0025	-0.0027	-0.0023	-0.0022	-0.0025	-0.0026	-0.0024	-0.0022	-0.0022	-0.0022	-0.0021	-0.0025	-0.0024	-0.002	-0.0025	-0.0023	-0.0022	-0.0022	-0.002	-0.0023	-0.0022	-0.0022	-0.0027	-0.0021	-0.002	-0.002	-0.0023	-0.0023	-0.0023	-0.0019	-0.0023	-0.0021	-0.0022	-0.0022	-0.0021	-0.0026	-0.0022	-0.0021	-0.002	-0.0023	-0.0022	-0.002	-0.002	-0.0019	-0.0021	-0.0021	-0.0022	-0.0021	-0.002	-0.0021	-0.0023	-0.0021	-0.0021	-0.002	-0.002	-0.0019	-0.002	-0.0022	-0.002	-0.002	-0.0023	-0.0022	-0.002	-0.0022	-0.0021	-0.0022	-0.002	-0.0023	-0.0021	-0.002	-0.0021	-0.0021	-0.0021	-0.0019	-0.0019	-0.0022	-0.002	-0.0019	-0.0019	-0.002	-0.0019	-0.0021	-0.002	-0.0018	-0.002	-0.0021	-0.0022	-0.0021	-0.0019	-0.0019	-0.0017	-0.0023	-0.0018	-0.002	-0.0021	-0.002	-0.0019	-0.0016
sad_vc_estimate	0.0757	0.0127	0.0293	0.0457	0.0012	0.0059	0.0275	0.0266	0.007	0.0042	-0.0015	0.0117	0.0002	0.0003	0.0049	0.008	0.002	0.0202	-0.001	0.0027	0.0278	0.0046	0.0197	0.024	0.0013	0.0268	0.0021	0.0034	0.1133	-0.0001	0.0061	-0.0014	0.0024	0.0012	0.0098	0.0017	-0.0011	0.0018	0.0796	-0.0006	0.0068	0.0107	-0.0012	0.0018	0.0009	-0.0013	0.0036	0.0384	0.0011	-0.0014	0.0071	0.0042	0.001	0.0159	0.0002	0.0848	0.0042	-0.0009	0.1076	-0.0012	0.0018	0.0539	0.0027	0.0039	0.0009	0.0069	0.0054	0.0063	0.078	-0.0013	-0.0007	0.0494	0.0035	0.0068	0.0025	0.0188	0.0	0.0111	0.0139	-0.0001	0.0149	-0.0014	0.0033	0.0113	0.0011	0.0171	0.0198	0.0241	0.0043	-0.0014	0.0063	0.0304	0.0115	-0.001	0.0108	0.0004	0.0258	0.0025	0.0146	0.0024
sad_vc_estimate_se	0.0231	0.0099	0.007	0.0074	0.0067	0.0066	0.0074	0.0078	0.007	0.0067	0.0061	0.0064	0.0061	0.0066	0.0073	0.0063	0.0075	0.0067	0.0065	0.0063	0.0061	0.0069	0.0067	0.0061	0.0077	0.0062	0.0059	0.0061	0.0063	0.0063	0.0064	0.0057	0.0067	0.0062	0.0068	0.0061	0.0061	0.0072	0.006	0.0065	0.0058	0.007	0.0065	0.0056	0.0059	0.0057	0.0058	0.0062	0.0063	0.0062	0.006	0.0059	0.0066	0.0061	0.0057	0.0057	0.0056	0.0056	0.0062	0.0062	0.0062	0.0058	0.0061	0.0066	0.006	0.0062	0.0062	0.0064	0.006	0.0065	0.0061	0.0057	0.0063	0.0063	0.006	0.0056	0.0056	0.0058	0.0061	0.0059	0.0057	0.0055	0.0052	0.0057	0.0058	0.0055	0.0056	0.0063	0.0065	0.0057	0.0059	0.0057	0.005	0.0062	0.0056	0.0058	0.0061	0.0059	0.006	0.0049
sad_vc_pvals	0.262	0.419	0.152	0.063	0.602	0.374	0.302	0.214	0.495	0.526	0.918	0.437	0.722	0.712	0.501	0.395	0.745	0.143	0.854	0.549	0.085	0.494	0.211	0.192	0.69	0.127	0.554	0.504	0.003	0.741	0.365	0.907	0.547	0.611	0.376	0.587	0.844	0.614	0.022	0.777	0.409	0.356	0.832	0.613	0.636	0.899	0.486	0.102	0.673	0.912	0.407	0.498	0.644	0.206	0.674	0.005	0.356	0.812	0.001	0.863	0.599	0.005	0.536	0.551	0.652	0.457	0.43	0.421	0.018	0.873	0.772	0.042	0.532	0.441	0.529	0.123	0.662	0.193	0.192	0.766	0.153	0.934	0.587	0.227	0.639	0.112	0.172	0.154	0.585	0.934	0.463	0.082	0.164	0.829	0.278	0.741	0.112	0.524	0.171	0.594
upper95_perm_sad	0.214	0.0882	0.0615	0.0572	0.0413	0.0457	0.1071	0.0685	0.0743	0.0636	0.052	0.0676	0.0548	0.0537	0.0673	0.0528	0.1576	0.0428	0.0891	0.0434	0.0454	0.053	0.0673	0.06	0.0882	0.0512	0.0428	0.049	0.0705	0.0575	0.0391	0.0454	0.0569	0.0525	0.0632	0.047	0.0396	0.0563	0.0724	0.0499	0.0469	0.0667	0.0468	0.0518	0.0466	0.0422	0.0435	0.0615	0.068	0.0443	0.0619	0.0554	0.051	0.0454	0.0377	0.0553	0.0271	0.0385	0.0487	0.0471	0.0545	0.0285	0.0468	0.0628	0.0516	0.0574	0.0456	0.0571	0.0589	0.0597	0.0369	0.0564	0.0484	0.0504	0.037	0.0322	0.0351	0.0315	0.0382	0.0463	0.0336	0.0355	0.0548	0.0358	0.0515	0.0293	0.0479	0.0563	0.0724	0.0386	0.0562	0.0445	0.0288	0.045	0.042	0.055	0.047	0.0445	0.0366	0.0452
lower0_perm_sad	-0.0075	-0.0034	-0.0024	-0.0026	-0.0023	-0.0022	-0.0025	-0.0028	-0.0026	-0.0022	-0.0021	-0.0021	-0.002	-0.0023	-0.0025	-0.0023	-0.0025	-0.0022	-0.0022	-0.0022	-0.002	-0.0023	-0.0024	-0.0021	-0.0026	-0.0021	-0.002	-0.0023	-0.002	-0.0023	-0.0021	-0.0021	-0.0023	-0.0021	-0.0023	-0.0023	-0.0021	-0.0026	-0.002	-0.0022	-0.002	-0.0024	-0.0023	-0.002	-0.002	-0.0021	-0.002	-0.0023	-0.0021	-0.0023	-0.002	-0.0022	-0.0022	-0.0023	-0.0022	-0.0021	-0.002	-0.0019	-0.0022	-0.0021	-0.0021	-0.0021	-0.0021	-0.0023	-0.002	-0.0021	-0.0021	-0.0023	-0.002	-0.0022	-0.002	-0.0019	-0.0022	-0.0021	-0.0021	-0.002	-0.0019	-0.002	-0.002	-0.002	-0.0019	-0.0019	-0.0017	-0.0019	-0.0022	-0.0019	-0.0019	-0.0022	-0.0022	-0.0019	-0.002	-0.002	-0.0018	-0.0022	-0.0021	-0.0021	-0.0022	-0.0022	-0.0022	-0.0017
