	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0046	0.002	0.0116	0.0116	0.0275	0.0008	-0.0013	-0.0015	0.0274	-0.0015	0.0008	0.0075	0.0007	-0.0006	-0.0007	-0.0024	0.0208	0.0002	0.0228	-0.0012	0.0103	0.0005	-0.0014	-0.0005	-0.0018	-0.001	-0.0013	0.0005	-0.002	0.0033	0.009	0.0014	0.0133	0.005	0.0126	-0.0011	-0.002	0.004	-0.0012	-0.0016	-0.0012	0.0022	-0.0021	-0.0008	0.001	-0.0022	0.0049	-0.0016	0.0133	0.0148	-0.0002	-0.002	0.0084	0.0001	0.0016	0.0224	-0.0017	-0.0008	0.0038	0.0005	0.0184	-0.0013	-0.0008	0.0042	0.0007	0.0055	0.0103	-0.0004	0.0129	-0.0002	0.003	-0.0005	0.0128	-0.0008	-0.0013	0.0144	0.0048	-0.0014	0.0019	-0.0028	0.0117	-0.0008	0.0007	0.0102	-0.001	-0.0009	0.0122	-0.0005	-0.0002	-0.0002	-0.0006	0.0081	0.0059	-0.0006	0.0037	0.0008	-0.0014	-0.0012	-0.0009	0.0029
direct_vc_estimate_se	0.0007	0.0005	0.0003	0.0004	0.0003	0.0004	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0003	0.0004	0.0002	0.0002	0.0003	0.0002	0.0004	0.0002	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0003	0.0002	0.0002	0.0002	0.0003	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0003	0.0003	0.0004	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002
direct_vc_pvals	0.912	0.492	0.07	0.175	0.021	0.765	0.81	0.916	0.009	0.91	0.288	0.237	0.479	0.707	0.564	0.881	0.043	0.521	0.012	0.83	0.236	0.636	0.803	0.775	0.902	0.598	0.808	0.875	0.964	0.204	0.122	0.457	0.127	0.248	0.144	0.897	0.959	0.484	0.909	0.896	0.965	0.441	0.913	0.853	0.361	0.891	0.425	0.997	0.05	0.114	0.506	0.989	0.148	0.561	0.286	0.028	0.923	0.628	0.362	0.56	0.198	0.943	0.693	0.339	0.289	0.253	0.143	0.537	0.106	0.568	0.308	0.643	0.173	0.681	0.848	0.132	0.108	0.679	0.536	0.905	0.191	0.839	0.374	0.057	0.695	0.642	0.135	0.505	0.541	0.587	0.669	0.185	0.323	0.642	0.207	0.34	0.971	0.969	0.585	0.283
upper95_perm_direct	0.0342	0.043	0.0161	0.0286	0.0251	0.0495	0.0172	0.0117	0.0191	0.0092	0.0085	0.0257	0.021	0.0126	0.0156	0.0336	0.024	0.0138	0.0179	0.0157	0.0299	0.0185	0.0191	0.0207	0.0208	0.0197	0.0196	0.0225	0.0298	0.0107	0.0191	0.0244	0.0249	0.0198	0.0288	0.0183	0.0175	0.0388	0.0201	0.0239	0.0218	0.0207	0.0185	0.0313	0.0158	0.0357	0.0205	0.0215	0.0156	0.0246	0.0108	0.0186	0.0167	0.0173	0.0082	0.0232	0.015	0.0098	0.0175	0.0191	0.0363	0.0083	0.0097	0.0233	0.0074	0.0193	0.0214	0.0084	0.0188	0.013	0.0164	0.0119	0.0338	0.0097	0.0091	0.0276	0.0088	0.0154	0.0348	0.0355	0.0229	0.008	0.0103	0.0128	0.0103	0.0074	0.0226	0.0066	0.0117	0.0197	0.0183	0.0192	0.0208	0.0089	0.0111	0.0078	0.0267	0.0096	0.0052	0.0144
lower0_perm_direct	-0.0067	-0.0048	-0.0028	-0.0038	-0.0029	-0.0035	-0.0022	-0.0022	-0.0026	-0.0022	-0.0019	-0.0019	-0.0026	-0.0017	-0.0032	-0.0037	-0.0022	-0.0019	-0.003	-0.002	-0.0038	-0.0021	-0.0025	-0.0021	-0.0029	-0.0032	-0.0023	-0.0022	-0.0029	-0.0016	-0.0023	-0.0023	-0.0019	-0.0025	-0.0026	-0.0018	-0.003	-0.0027	-0.002	-0.0024	-0.0017	-0.002	-0.0031	-0.0026	-0.0028	-0.0033	-0.0022	-0.0023	-0.0021	-0.0026	-0.002	-0.003	-0.0022	-0.0021	-0.0019	-0.0024	-0.0025	-0.002	-0.0022	-0.0026	-0.0028	-0.002	-0.0018	-0.0027	-0.002	-0.0023	-0.0025	-0.0017	-0.0017	-0.0019	-0.0021	-0.002	-0.0024	-0.0017	-0.002	-0.0031	-0.0016	-0.0031	-0.0026	-0.0041	-0.0022	-0.0014	-0.0023	-0.0024	-0.0021	-0.0021	-0.0025	-0.002	-0.002	-0.0023	-0.0022	-0.0015	-0.0016	-0.0017	-0.002	-0.0014	-0.0022	-0.0017	-0.002	-0.0017
sad_vc_estimate	-0.0047	0.0015	0.0508	0.021	0.0788	0.0066	-0.0014	-0.0014	0.0672	-0.0015	0.0056	0.0233	0.0062	0.0001	-0.0008	0.0078	0.0522	0.0032	0.0845	-0.0013	0.0378	0.0071	-0.0013	0.0018	-0.0019	0.0091	0.0001	0.0091	-0.0001	0.0106	0.014	0.0089	0.038	0.0087	0.0549	0.0011	0.0004	0.0314	0.0019	-0.0005	-0.0012	0.0047	0.0043	0.0049	0.0112	-0.0001	0.0082	-0.0015	0.0306	0.04	0.0036	-0.0016	0.0142	0.0083	0.0102	0.0775	-0.0015	-0.0012	0.0097	0.0063	0.044	-0.0012	-0.0008	0.0407	0.0076	0.0338	0.0289	0.0021	0.0217	0.0047	0.0051	0.0009	0.0212	0.0006	-0.0012	0.0496	0.019	0.0004	0.0036	0.0016	0.0346	-0.0006	0.014	0.0332	0.0005	-0.0014	0.0352	-0.0013	0.0056	0.0009	0.0059	0.0184	0.0094	0.0001	0.0057	0.0005	0.001	-0.0006	-0.0013	0.0028
sad_vc_estimate_se	0.0007	0.0005	0.0003	0.0004	0.0003	0.0004	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0003	0.0002	0.0003	0.0004	0.0002	0.0002	0.0003	0.0002	0.0004	0.0002	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0003	0.0002	0.0002	0.0002	0.0003	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0003	0.0003	0.0004	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002
sad_vc_pvals	0.964	0.689	0.028	0.284	0.015	0.765	0.904	0.913	0.009	0.955	0.243	0.153	0.417	0.698	0.754	0.452	0.039	0.436	0.002	0.914	0.186	0.413	0.87	0.649	0.971	0.378	0.672	0.679	0.779	0.196	0.269	0.384	0.098	0.358	0.09	0.656	0.655	0.23	0.61	0.786	0.93	0.469	0.516	0.626	0.286	0.744	0.624	0.946	0.071	0.068	0.397	0.842	0.264	0.366	0.181	0.003	0.881	0.87	0.34	0.449	0.152	0.874	0.812	0.111	0.179	0.098	0.106	0.464	0.145	0.407	0.447	0.626	0.26	0.57	0.845	0.095	0.064	0.636	0.61	0.706	0.109	0.822	0.177	0.045	0.622	0.946	0.094	0.936	0.381	0.634	0.419	0.181	0.379	0.65	0.426	0.588	0.701	0.753	0.885	0.477
upper95_perm_sad	0.0805	0.1171	0.0442	0.084	0.0638	0.1315	0.0464	0.0338	0.0503	0.028	0.0219	0.0569	0.0499	0.0339	0.0647	0.0896	0.0579	0.0292	0.0498	0.0373	0.0861	0.0436	0.048	0.0449	0.0531	0.0569	0.041	0.0594	0.0716	0.0315	0.046	0.0546	0.0581	0.0484	0.082	0.0415	0.0557	0.0961	0.0518	0.0609	0.0519	0.0469	0.0555	0.0823	0.0464	0.0846	0.0561	0.0507	0.043	0.0599	0.0281	0.0476	0.0548	0.0457	0.0262	0.0524	0.044	0.0231	0.045	0.0514	0.0784	0.023	0.0304	0.0702	0.0211	0.0531	0.05	0.0284	0.0388	0.0345	0.0439	0.0361	0.0782	0.0239	0.0286	0.0765	0.0251	0.0451	0.0818	0.1188	0.057	0.0228	0.0338	0.0387	0.0322	0.0224	0.0557	0.0208	0.0395	0.0445	0.0553	0.0423	0.0419	0.0258	0.0361	0.0198	0.0595	0.0265	0.0203	0.0329
lower0_perm_sad	-0.0068	-0.0048	-0.0027	-0.0038	-0.0029	-0.0036	-0.0022	-0.0022	-0.0024	-0.0021	-0.0019	-0.0019	-0.0026	-0.0018	-0.0031	-0.0037	-0.0022	-0.0019	-0.0029	-0.002	-0.0037	-0.002	-0.0024	-0.0021	-0.0027	-0.0034	-0.0023	-0.0022	-0.003	-0.0016	-0.0024	-0.0023	-0.0019	-0.0025	-0.0025	-0.0018	-0.003	-0.0028	-0.0019	-0.0024	-0.0018	-0.002	-0.003	-0.0027	-0.0028	-0.0033	-0.0022	-0.0024	-0.0022	-0.0025	-0.002	-0.003	-0.0021	-0.0022	-0.002	-0.0024	-0.0026	-0.002	-0.0022	-0.0025	-0.0027	-0.002	-0.0019	-0.0027	-0.0019	-0.0024	-0.0025	-0.0017	-0.0017	-0.002	-0.0021	-0.002	-0.0024	-0.0017	-0.002	-0.0029	-0.0017	-0.003	-0.0026	-0.0041	-0.0023	-0.0014	-0.0024	-0.0023	-0.002	-0.002	-0.0025	-0.0019	-0.0022	-0.0022	-0.0024	-0.0015	-0.0016	-0.0018	-0.0021	-0.0014	-0.0022	-0.0019	-0.002	-0.0017
