	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0145	0.0274	0.0039	-0.0042	0.0325	-0.0054	-0.0027	0.0046	0.0009	0.056	0.0278	0.0007	-0.0032	-0.0039	0.0134	-0.0044	0.0025	-0.0004	0.0052	0.0201	-0.0024	0.0012	0.0262	0.058	0.0052	-0.0024	0.009	-0.0048	0.0323	-0.0021	0.0007	0.0374	-0.0038	-0.0049	-0.0048	-0.0047	0.023	-0.005	-0.0039	-0.0045	0.021	-0.0034	-0.0049	0.0083	-0.0048	0.0106	-0.0025	-0.0052	-0.0041	0.0065	-0.0017	-0.0001	-0.0036	-0.0002	-0.004	-0.0045	0.0337	0.006	-0.0028	0.0192	0.0064	0.0059	0.0007	-0.0015	-0.0023	-0.0013	-0.004	0.0038	-0.0046	-0.0036	0.0115	0.0167	-0.0043	0.0169	0.0473	0.0088	-0.0032	-0.0048	-0.0049	-0.0042	0.0007	0.0085	-0.0047	-0.0024	-0.0052	0.0374	0.0297	0.0052	0.0577	-0.0032	-0.0019	-0.0048	0.0152	0.0145	-0.0047	-0.0031	0.017	0.0004	-0.0045	0.0276
direct_vc_estimate_se	0.1404	0.0592	0.0453	0.042	0.0396	0.0393	0.0375	0.0367	0.037	0.0373	0.036	0.0363	0.0368	0.0373	0.0361	0.035	0.0369	0.0355	0.0363	0.0367	0.0365	0.0366	0.037	0.0355	0.0364	0.0369	0.0355	0.0353	0.0348	0.035	0.0369	0.0371	0.0346	0.0357	0.037	0.0362	0.0381	0.0389	0.0347	0.0344	0.0351	0.038	0.0357	0.0369	0.035	0.0351	0.0357	0.0384	0.0348	0.0352	0.0347	0.0349	0.0355	0.0352	0.0339	0.0346	0.0359	0.0365	0.0346	0.0353	0.0342	0.0351	0.0351	0.0356	0.0353	0.036	0.0351	0.0343	0.0337	0.0358	0.0354	0.036	0.0341	0.0365	0.0343	0.0364	0.0353	0.035	0.0363	0.0342	0.0339	0.0335	0.0348	0.0363	0.0391	0.0347	0.0355	0.0368	0.0354	0.0364	0.0364	0.0347	0.0353	0.0363	0.0362	0.0362	0.0362	0.0342	0.0347	0.0349
direct_vc_pvals	0.723	0.127	0.299	0.693	0.04	0.969	0.608	0.323	0.429	0.018	0.063	0.424	0.637	0.722	0.137	0.82	0.338	0.449	0.258	0.091	0.569	0.372	0.063	0.005	0.253	0.578	0.191	0.943	0.032	0.607	0.385	0.018	0.721	0.962	0.855	0.873	0.062	0.844	0.76	0.86	0.067	0.644	0.996	0.213	0.99	0.157	0.601	0.905	0.792	0.25	0.543	0.413	0.703	0.434	0.777	0.892	0.026	0.238	0.635	0.08	0.254	0.273	0.394	0.528	0.575	0.493	0.745	0.331	0.947	0.709	0.174	0.103	0.825	0.124	0.015	0.182	0.671	0.976	0.923	0.805	0.436	0.196	0.925	0.522	0.898	0.024	0.032	0.278	0.003	0.66	0.548	0.966	0.114	0.147	0.844	0.649	0.105	0.46	0.835	0.058
upper95_perm_direct	0.1311	0.0655	0.0365	0.0413	0.0356	0.039	0.0413	0.0436	0.0335	0.0436	0.0395	0.0384	0.0389	0.0344	0.0334	0.0323	0.0351	0.0338	0.0404	0.0357	0.0357	0.036	0.0385	0.0351	0.0371	0.0317	0.0373	0.0317	0.0314	0.0313	0.0328	0.0294	0.034	0.0353	0.0375	0.0428	0.0324	0.0359	0.0327	0.034	0.0305	0.0353	0.0333	0.0304	0.0378	0.0342	0.0355	0.033	0.0336	0.035	0.0304	0.0291	0.037	0.027	0.0397	0.0367	0.0297	0.0333	0.0353	0.0322	0.0342	0.0352	0.0331	0.0321	0.0343	0.0258	0.0325	0.0331	0.0333	0.0333	0.0335	0.0304	0.0337	0.0341	0.0354	0.0278	0.034	0.0355	0.0323	0.0338	0.0349	0.0327	0.0316	0.034	0.0364	0.0318	0.0304	0.0378	0.0302	0.0343	0.0366	0.0291	0.0328	0.0369	0.0315	0.0366	0.0316	0.0376	0.0325	0.036
lower0_perm_direct	-0.0283	-0.0117	-0.0089	-0.0083	-0.0079	-0.0079	-0.0076	-0.0075	-0.0072	-0.0075	-0.0068	-0.0072	-0.0073	-0.0077	-0.0068	-0.0069	-0.0074	-0.0072	-0.0072	-0.0074	-0.0071	-0.0076	-0.0072	-0.0069	-0.0071	-0.0072	-0.007	-0.007	-0.007	-0.0071	-0.0073	-0.0076	-0.007	-0.007	-0.0075	-0.0074	-0.0074	-0.0079	-0.007	-0.0067	-0.0066	-0.0076	-0.0068	-0.0073	-0.0072	-0.0071	-0.0071	-0.0076	-0.0068	-0.0069	-0.007	-0.0067	-0.007	-0.0071	-0.0066	-0.0068	-0.0071	-0.0073	-0.0069	-0.0073	-0.0069	-0.0067	-0.0072	-0.0069	-0.007	-0.007	-0.0071	-0.0069	-0.0068	-0.0072	-0.007	-0.0073	-0.0069	-0.0073	-0.0068	-0.0073	-0.0069	-0.007	-0.0073	-0.0067	-0.007	-0.0066	-0.0069	-0.0072	-0.0079	-0.0069	-0.0073	-0.0072	-0.0071	-0.0072	-0.0073	-0.0071	-0.0071	-0.0073	-0.0074	-0.0072	-0.0074	-0.0066	-0.0067	-0.0069
sad_vc_estimate	-0.0042	0.1102	0.0021	0.0006	0.0378	-0.0054	-0.0049	-0.0022	0.0031	0.0719	0.0264	-0.001	0.0032	-0.0006	0.0128	-0.0037	-0.0021	0.0174	0.0219	0.0256	0.017	0.0137	0.0233	0.0584	-0.0054	-0.0054	0.002	-0.0026	0.0388	-0.0047	-0.0052	0.0712	-0.0047	-0.0047	-0.0041	0.001	0.0205	0.0089	-0.001	-0.0049	0.0164	-0.0019	-0.005	0.0395	-0.0051	0.0142	-0.0014	-0.0054	-0.0046	0.0074	-0.0047	0.028	0.0016	0.0033	0.0005	-0.0051	0.0221	0.0134	-0.0026	0.0014	0.0119	0.0492	0.0019	-0.0049	-0.0052	-0.0043	-0.0045	0.0009	-0.005	-0.0014	0.0173	0.0074	-0.0042	0.0117	0.0489	0.0207	-0.0048	-0.005	-0.0039	0.0038	0.0084	0.007	-0.0052	-0.0041	-0.004	0.0356	0.0493	0.0016	0.064	-0.0002	-0.0035	0.002	0.0231	0.0263	-0.005	-0.0014	0.0172	0.0061	-0.0034	0.0082
sad_vc_estimate_se	0.1531	0.064	0.0488	0.0455	0.0428	0.0423	0.0405	0.0397	0.0399	0.0402	0.0388	0.0394	0.0398	0.0402	0.039	0.0378	0.0398	0.0386	0.0392	0.0396	0.0393	0.0396	0.04	0.0384	0.0392	0.0398	0.0386	0.0382	0.0376	0.0377	0.0398	0.0403	0.0374	0.0386	0.0399	0.039	0.041	0.0418	0.0375	0.0371	0.038	0.041	0.0387	0.0398	0.0378	0.038	0.0386	0.0412	0.0377	0.0381	0.0375	0.0377	0.0383	0.0381	0.0371	0.0373	0.0387	0.0393	0.0374	0.0381	0.0369	0.0379	0.038	0.0384	0.0381	0.0393	0.0378	0.0371	0.0365	0.0387	0.0383	0.0388	0.0371	0.0395	0.0371	0.0392	0.0381	0.038	0.0391	0.0371	0.0367	0.0362	0.0377	0.039	0.0418	0.0375	0.0383	0.0396	0.0383	0.0392	0.0392	0.0374	0.0383	0.0391	0.039	0.0391	0.039	0.037	0.0375	0.0377
sad_vc_pvals	0.515	0.016	0.416	0.445	0.049	0.84	0.803	0.593	0.363	0.009	0.112	0.524	0.362	0.503	0.19	0.694	0.586	0.158	0.111	0.092	0.14	0.171	0.104	0.015	0.951	0.933	0.374	0.608	0.036	0.827	0.875	0.01	0.83	0.823	0.752	0.455	0.118	0.252	0.529	0.884	0.143	0.559	0.854	0.039	0.936	0.162	0.557	0.891	0.812	0.244	0.85	0.063	0.439	0.35	0.462	0.941	0.113	0.17	0.595	0.416	0.202	0.022	0.45	0.839	0.954	0.741	0.801	0.44	0.951	0.549	0.133	0.274	0.788	0.23	0.018	0.11	0.848	0.88	0.706	0.337	0.242	0.295	0.984	0.684	0.707	0.041	0.026	0.394	0.013	0.501	0.676	0.426	0.092	0.075	0.855	0.515	0.163	0.321	0.67	0.253
upper95_perm_sad	0.1989	0.0863	0.0542	0.0456	0.0476	0.0446	0.042	0.0403	0.0424	0.0586	0.0532	0.0418	0.0411	0.0428	0.0434	0.0426	0.0484	0.0453	0.0469	0.0489	0.043	0.0421	0.0477	0.0492	0.0445	0.0443	0.0443	0.0385	0.0402	0.0417	0.0494	0.044	0.0469	0.042	0.0462	0.0502	0.0462	0.0438	0.0447	0.0433	0.0405	0.0429	0.0434	0.0406	0.0442	0.043	0.0456	0.0406	0.0447	0.04	0.0423	0.0392	0.0424	0.0364	0.0463	0.0415	0.0456	0.0434	0.0408	0.0407	0.0451	0.0473	0.0457	0.0494	0.0387	0.0349	0.0445	0.0435	0.036	0.0432	0.0413	0.041	0.0437	0.0519	0.0399	0.0389	0.0481	0.0412	0.0422	0.0427	0.0394	0.0438	0.0442	0.0368	0.0472	0.0415	0.047	0.0418	0.0463	0.045	0.0409	0.0411	0.042	0.0435	0.042	0.0382	0.0464	0.0442	0.0409	0.0427
lower0_perm_sad	-0.0304	-0.0129	-0.0097	-0.0092	-0.0086	-0.0083	-0.0082	-0.0078	-0.0079	-0.0078	-0.0078	-0.008	-0.008	-0.0079	-0.0077	-0.0078	-0.008	-0.0077	-0.0078	-0.008	-0.0077	-0.0076	-0.0082	-0.0075	-0.0078	-0.008	-0.0078	-0.0077	-0.0077	-0.0075	-0.0077	-0.0079	-0.0076	-0.0078	-0.0078	-0.0075	-0.0081	-0.0081	-0.0075	-0.0073	-0.0075	-0.0084	-0.0075	-0.0079	-0.0076	-0.0077	-0.0073	-0.0082	-0.0074	-0.0074	-0.0076	-0.0076	-0.0075	-0.0075	-0.0074	-0.0071	-0.0079	-0.008	-0.0075	-0.0077	-0.0072	-0.0076	-0.0072	-0.0077	-0.0077	-0.008	-0.0075	-0.0074	-0.0074	-0.0078	-0.0077	-0.0078	-0.0075	-0.008	-0.0075	-0.0075	-0.0076	-0.0075	-0.0075	-0.0073	-0.0074	-0.0071	-0.0073	-0.0076	-0.0082	-0.0072	-0.0076	-0.0079	-0.0077	-0.008	-0.0076	-0.0074	-0.0075	-0.0077	-0.0078	-0.0079	-0.0077	-0.0073	-0.0073	-0.0074
