	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1833	0.0013	-0.0161	0.0302	-0.003	-0.0034	-0.002	-0.0004	0.0029	-0.0022	-0.0017	-0.0014	0.0089	-0.0023	0.0012	-0.0012	-0.0012	0.0026	-0.0005	0.0091	0.0018	0.0033	-0.001	0.0054	-0.0	0.0025	-0.0009	0.0006	0.0059	-0.001	0.0033	0.0109	0.0013	0.0012	-0.0008	0.0205	0.0015	-0.0005	-0.0012	-0.0004	0.0012	-0.0018	-0.0012	-0.0016	-0.0011	0.0164	0.0011	-0.0012	-0.0012	-0.0002	0.0024	-0.0002	-0.0019	0.0006	0.0017	-0.0007	0.0036	-0.0007	-0.0007	0.0112	0.0023	-0.001	0.0005	0.0107	0.0036	0.0125	0.0066	-0.0004	0.0011	0.0036	0.0013	0.0017	-0.0002	-0.0007	-0.0015	-0.0006	-0.001	-0.0015	-0.0012	-0.001	-0.0007	0.02	-0.0009	0.0084	-0.001	-0.0015	0.0042	-0.0006	-0.0012	-0.0006	0.0002	-0.0008	-0.0012	0.002	0.0015	0.0048	0.0057	-0.0011	0.0041	-0.0009
direct_vc_estimate_se	0.0479	0.0852	0.0092	0.0125	0.0025	0.0019	0.0015	0.0011	0.0008	0.0012	0.001	0.0008	0.0018	0.0013	0.0006	0.0007	0.0009	0.0006	0.0006	0.0009	0.0006	0.0008	0.0007	0.0007	0.0006	0.0006	0.0008	0.0009	0.0006	0.0006	0.0006	0.0006	0.0009	0.0006	0.0006	0.0009	0.0007	0.0007	0.0007	0.0006	0.0009	0.0009	0.001	0.0009	0.0007	0.0006	0.0006	0.0007	0.0006	0.0006	0.0007	0.0006	0.001	0.0007	0.0007	0.0006	0.0009	0.0006	0.0006	0.0005	0.0007	0.0007	0.0006	0.0007	0.0008	0.0006	0.0005	0.0006	0.0007	0.0006	0.0005	0.0007	0.0006	0.0008	0.0008	0.0006	0.0006	0.0009	0.0007	0.0005	0.0006	0.0006	0.0006	0.0009	0.0005	0.0008	0.0007	0.0006	0.0006	0.0006	0.0006	0.0008	0.0007	0.0006	0.0006	0.001	0.0006	0.0006	0.0007	0.0005
direct_vc_pvals	0.17	0.41	0.825	0.183	0.714	0.841	0.64	0.497	0.189	0.951	0.859	0.899	0.112	0.774	0.26	0.815	0.616	0.196	0.589	0.037	0.238	0.168	0.708	0.058	0.46	0.215	0.587	0.392	0.117	0.812	0.183	0.027	0.321	0.32	0.701	0.003	0.387	0.523	0.817	0.6	0.278	0.913	0.613	0.9	0.797	0.0	0.351	0.776	0.891	0.453	0.19	0.518	0.925	0.399	0.258	0.7	0.169	0.675	0.678	0.022	0.248	0.751	0.442	0.015	0.186	0.009	0.086	0.554	0.276	0.13	0.328	0.298	0.524	0.585	0.871	0.611	0.806	0.794	0.94	0.998	0.645	0.008	0.639	0.053	0.982	0.849	0.132	0.641	0.929	0.603	0.405	0.59	0.847	0.203	0.233	0.13	0.091	0.95	0.117	0.857
upper95_perm_direct	0.5759	0.6761	0.1164	0.0962	0.0429	0.0187	0.0124	0.0159	0.0094	0.0092	0.0131	0.0134	0.0179	0.012	0.007	0.0061	0.009	0.0094	0.0098	0.01	0.0078	0.0099	0.0133	0.0077	0.0093	0.0098	0.0102	0.0118	0.0129	0.0098	0.0102	0.0099	0.0115	0.01	0.011	0.0119	0.0154	0.0104	0.0102	0.013	0.0115	0.0113	0.0125	0.0109	0.0089	0.0081	0.0119	0.0115	0.0108	0.0069	0.0084	0.0081	0.0098	0.0118	0.0094	0.0113	0.011	0.0069	0.0106	0.0096	0.0117	0.0077	0.0103	0.0074	0.0128	0.0086	0.011	0.008	0.0075	0.0083	0.0093	0.0109	0.0104	0.0115	0.0092	0.0091	0.0078	0.01	0.0087	0.0074	0.0081	0.0119	0.006	0.0106	0.0087	0.0127	0.0097	0.009	0.0076	0.0082	0.0073	0.0094	0.0107	0.0074	0.0072	0.0116	0.01	0.0099	0.0091	0.008
lower0_perm_direct	-0.1358	-0.2379	-0.026	-0.0344	-0.0071	-0.0053	-0.0041	-0.0032	-0.0022	-0.0033	-0.0027	-0.0022	-0.005	-0.0037	-0.0018	-0.0019	-0.0024	-0.0017	-0.0018	-0.0026	-0.0016	-0.0022	-0.002	-0.002	-0.0018	-0.0017	-0.0024	-0.0024	-0.0016	-0.0017	-0.0017	-0.0017	-0.0025	-0.0015	-0.0017	-0.0026	-0.0019	-0.0021	-0.002	-0.0018	-0.0025	-0.0026	-0.0028	-0.0025	-0.0018	-0.0017	-0.0016	-0.0021	-0.0018	-0.0017	-0.0019	-0.0016	-0.0029	-0.0018	-0.002	-0.0016	-0.0026	-0.0015	-0.0017	-0.0015	-0.002	-0.0019	-0.0018	-0.002	-0.0024	-0.0016	-0.0015	-0.0016	-0.0018	-0.0018	-0.0014	-0.002	-0.0017	-0.0023	-0.0024	-0.0017	-0.0016	-0.0025	-0.0019	-0.0015	-0.0017	-0.0016	-0.0018	-0.0025	-0.0014	-0.0023	-0.002	-0.0016	-0.0018	-0.0017	-0.0016	-0.0022	-0.0019	-0.0016	-0.0016	-0.0029	-0.0016	-0.0016	-0.002	-0.0015
sad_vc_estimate	0.5163	0.2293	0.0205	0.0439	0.0816	-0.0036	-0.0016	0.0008	0.007	0.0008	0.0026	-0.0015	0.0125	-0.0021	0.0076	-0.0013	-0.0015	0.0046	0.0005	0.0147	0.0017	0.0111	0.0017	0.0053	0.0007	0.0071	-0.0009	0.0024	0.0082	-0.0011	0.002	0.0078	0.0025	0.0071	0.0006	0.0441	0.0049	0.0029	-0.0012	-0.0012	0.0049	-0.001	0.0032	-0.0017	-0.0006	0.0225	0.0039	0.0024	-0.0006	-0.001	0.0016	-0.001	-0.0017	0.0038	0.001	-0.0011	0.0057	-0.001	-0.0011	0.006	0.0044	-0.0009	-0.0009	0.0304	0.0075	0.0158	0.02	-0.0003	0.0037	0.0075	0.002	0.0037	0.0031	0.0008	-0.0016	-0.0006	-0.0011	-0.0017	-0.0011	0.0007	-0.0008	0.0328	-0.0004	0.0089	-0.0005	-0.0016	0.0081	-0.0011	-0.0012	0.0001	0.0018	-0.0006	-0.0006	0.0045	0.0014	0.0119	0.0083	0.0002	0.0083	-0.0003
sad_vc_estimate_se	0.0485	0.0858	0.0094	0.0126	0.0026	0.0019	0.0015	0.0011	0.0008	0.0012	0.001	0.0008	0.0018	0.0014	0.0006	0.0007	0.0009	0.0006	0.0006	0.001	0.0006	0.0008	0.0008	0.0007	0.0006	0.0006	0.0009	0.0009	0.0006	0.0006	0.0006	0.0006	0.0009	0.0006	0.0006	0.001	0.0007	0.0008	0.0007	0.0006	0.0009	0.001	0.001	0.0009	0.0007	0.0006	0.0006	0.0008	0.0007	0.0006	0.0007	0.0006	0.001	0.0007	0.0007	0.0006	0.0009	0.0006	0.0006	0.0005	0.0007	0.0007	0.0006	0.0008	0.0008	0.0006	0.0006	0.0006	0.0007	0.0007	0.0005	0.0007	0.0006	0.0008	0.0008	0.0006	0.0006	0.0009	0.0007	0.0005	0.0006	0.0006	0.0006	0.0009	0.0005	0.0008	0.0007	0.0006	0.0006	0.0006	0.0006	0.0008	0.0007	0.0006	0.0006	0.001	0.0006	0.0006	0.0007	0.0005
sad_vc_pvals	0.146	0.248	0.422	0.229	0.041	0.942	0.628	0.488	0.164	0.382	0.411	0.948	0.153	0.805	0.122	0.988	0.83	0.225	0.5	0.039	0.389	0.077	0.484	0.154	0.491	0.146	0.732	0.361	0.258	0.909	0.43	0.178	0.342	0.192	0.533	0.005	0.378	0.308	0.832	0.956	0.24	0.664	0.294	0.928	0.678	0.009	0.321	0.372	0.732	0.843	0.394	0.867	0.825	0.33	0.435	0.998	0.197	0.856	0.887	0.205	0.314	0.707	0.787	0.003	0.173	0.032	0.035	0.597	0.193	0.104	0.381	0.306	0.361	0.461	0.909	0.696	0.905	0.881	0.808	0.459	0.74	0.017	0.543	0.128	0.74	0.941	0.142	0.99	0.995	0.543	0.292	0.634	0.743	0.176	0.396	0.106	0.137	0.588	0.115	0.669
upper95_perm_sad	1.1661	1.0004	0.212	0.1929	0.0923	0.0354	0.0193	0.0274	0.0178	0.0155	0.0278	0.0241	0.0301	0.0239	0.0161	0.0126	0.0152	0.0202	0.0151	0.017	0.0173	0.0167	0.0226	0.0132	0.0204	0.0166	0.0249	0.0234	0.0288	0.0204	0.0215	0.0211	0.0192	0.0205	0.0196	0.0282	0.0341	0.0179	0.0182	0.0204	0.0204	0.0194	0.0201	0.0192	0.0183	0.0142	0.0205	0.0205	0.0198	0.0147	0.0162	0.0158	0.0215	0.0217	0.0171	0.0239	0.0196	0.0117	0.0216	0.0182	0.0274	0.0151	0.0202	0.0127	0.0205	0.0155	0.0216	0.0147	0.0132	0.0149	0.019	0.0216	0.0196	0.0186	0.0141	0.0169	0.0136	0.0161	0.0137	0.0139	0.0142	0.0269	0.0097	0.0193	0.0177	0.021	0.0186	0.0154	0.0137	0.0142	0.0103	0.0162	0.022	0.0138	0.0162	0.0208	0.0186	0.0203	0.0154	0.0153
lower0_perm_sad	-0.1368	-0.2431	-0.0263	-0.0346	-0.0071	-0.0053	-0.0041	-0.0031	-0.0023	-0.0034	-0.0027	-0.0022	-0.005	-0.0037	-0.0018	-0.002	-0.0025	-0.0017	-0.0017	-0.0026	-0.0016	-0.0023	-0.0021	-0.002	-0.0017	-0.0017	-0.0023	-0.0025	-0.0017	-0.0017	-0.0017	-0.0017	-0.0025	-0.0016	-0.0018	-0.0027	-0.0018	-0.0021	-0.0019	-0.0018	-0.0026	-0.0026	-0.0028	-0.0024	-0.0019	-0.0017	-0.0016	-0.0021	-0.0018	-0.0017	-0.0019	-0.0017	-0.0029	-0.0018	-0.0021	-0.0016	-0.0026	-0.0015	-0.0017	-0.0015	-0.002	-0.0019	-0.0018	-0.0021	-0.0023	-0.0016	-0.0016	-0.0017	-0.0019	-0.0018	-0.0015	-0.002	-0.0016	-0.0023	-0.0024	-0.0017	-0.0017	-0.0026	-0.0018	-0.0015	-0.0017	-0.0016	-0.0018	-0.0026	-0.0015	-0.0023	-0.002	-0.0016	-0.0018	-0.0017	-0.0016	-0.0022	-0.0018	-0.0017	-0.0016	-0.0029	-0.0016	-0.0016	-0.002	-0.0015
covar_vc_estimate	-0.6352	-0.1825	0.0198	-0.0736	-0.0156	0.0074	0.0037	-0.0003	-0.0092	0.0041	0.0022	0.0031	-0.0212	0.0058	-0.0067	0.0026	0.0027	-0.0069	0.0002	-0.0233	-0.0035	-0.0126	0.0005	-0.0108	-0.0006	-0.0088	0.0017	-0.0027	-0.0139	0.0025	-0.0053	-0.0185	-0.0036	-0.0064	0.0008	-0.0605	-0.0057	-0.0011	0.0024	0.0022	-0.0053	0.0032	0.0	0.0034	0.0019	-0.0384	-0.0045	0.0008	0.0028	0.0015	-0.0039	0.003	0.004	-0.0037	-0.0027	0.0021	-0.0091	0.0017	0.002	-0.0164	-0.0065	0.0019	0.0009	-0.0364	-0.0106	-0.0281	-0.0233	0.0007	-0.0044	-0.0106	-0.0033	-0.0051	-0.0017	0.0002	0.0033	0.0035	0.0021	0.0032	0.0024	0.0021	0.0015	-0.0513	0.0013	-0.0173	0.0019	0.0033	-0.0119	0.0022	0.0024	0.0006	-0.0017	0.0015	0.002	-0.0062	-0.0029	-0.0155	-0.0138	0.0025	-0.0118	0.0015
covar_vc_estimate_se	0.6165	0.8277	0.2687	0.3113	0.1401	0.1212	0.1065	0.0934	0.0794	0.0956	0.0862	0.0779	0.1182	0.102	0.07	0.073	0.0822	0.0683	0.07	0.0853	0.0667	0.0797	0.0762	0.0749	0.0702	0.0686	0.0807	0.0821	0.068	0.0685	0.0684	0.0693	0.0828	0.0655	0.0697	0.0853	0.0726	0.0761	0.0738	0.0705	0.0835	0.0853	0.0882	0.0823	0.0719	0.0676	0.0672	0.0758	0.0707	0.0676	0.0724	0.0682	0.0884	0.0712	0.075	0.0656	0.0839	0.0656	0.0692	0.0641	0.0744	0.0727	0.0705	0.076	0.0806	0.0663	0.0653	0.0676	0.0716	0.0705	0.0636	0.0735	0.0681	0.0802	0.0803	0.0692	0.0678	0.084	0.0716	0.0648	0.0683	0.0676	0.0696	0.084	0.0631	0.0803	0.0753	0.0666	0.0703	0.0683	0.0659	0.0787	0.0716	0.0678	0.0666	0.0893	0.0672	0.0675	0.0755	0.0641
