	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0204	0.0005	0.0036	-0.0044	0.0069	0.0211	0.0001	0.0333	0.0025	0.012	0.0234	-0.0045	0.0222	-0.0036	0.0147	-0.0069	0.0209	0.0176	0.0051	0.0101	0.014	0.036	0.0058	-0.0096	-0.0058	-0.0062	-0.0039	0.0004	-0.0034	-0.0052	0.0112	0.0041	0.0098	0.0047	0.0304	-0.0077	-0.0015	0.0045	-0.0046	-0.0038	-0.0038	0.0091	-0.0008	-0.0015	0.0174	-0.0047	0.0163	0.0054	0.0072	0.0163	-0.0042	-0.0008	0.0142	-0.0061	0.0105	0.0163	-0.0045	-0.0016	0.0199	-0.002	0.0408	0.0029	-0.0064	0.0504	0.0195	0.029	-0.0035	0.0097	0.0181	-0.003	-0.0035	0.0481	-0.0076	0.0027	-0.0001	-0.0054	0.0022	0.003	-0.0048	-0.002	-0.0019	0.0231	-0.0049	-0.0031	0.0195	-0.0048	0.0029	-0.0062	0.0551	-0.0027	-0.0046	-0.0027	-0.0002	0.0141	-0.0047	-0.0045	-0.0008	-0.0047	0.0294	-0.0051
direct_vc_estimate_se	0.1447	0.0491	0.045	0.0452	0.0317	0.0423	0.028	0.0353	0.0459	0.0304	0.0419	0.0294	0.0313	0.0348	0.0374	0.0521	0.0289	0.0324	0.0292	0.0322	0.0386	0.0352	0.0358	0.0593	0.0365	0.0385	0.0286	0.0332	0.0341	0.0407	0.0303	0.0372	0.0318	0.031	0.0294	0.0528	0.0293	0.0393	0.032	0.0285	0.0306	0.0312	0.0316	0.0329	0.0337	0.0349	0.0331	0.0304	0.0271	0.0365	0.0276	0.0302	0.0305	0.0391	0.0298	0.0331	0.03	0.0309	0.0295	0.0266	0.0391	0.0307	0.0424	0.0356	0.0525	0.0339	0.0351	0.0331	0.0291	0.0264	0.0283	0.0293	0.0475	0.029	0.0334	0.041	0.0304	0.0267	0.0352	0.0293	0.029	0.0383	0.0336	0.0331	0.0293	0.031	0.0291	0.04	0.0278	0.0268	0.0292	0.0311	0.0388	0.0372	0.0326	0.0333	0.0299	0.0314	0.0353	0.0374
direct_vc_pvals	0.758	0.51	0.333	0.581	0.244	0.124	0.517	0.047	0.36	0.13	0.127	0.857	0.139	0.673	0.161	0.722	0.065	0.17	0.368	0.202	0.165	0.048	0.31	0.95	0.939	0.934	0.77	0.421	0.671	0.74	0.185	0.353	0.191	0.381	0.059	0.775	0.531	0.403	0.791	0.778	0.746	0.232	0.54	0.582	0.145	0.773	0.152	0.292	0.297	0.147	0.854	0.464	0.127	0.885	0.238	0.227	0.851	0.548	0.142	0.617	0.046	0.402	0.86	0.013	0.168	0.064	0.656	0.207	0.142	0.695	0.744	0.013	0.942	0.489	0.456	0.769	0.386	0.339	0.742	0.644	0.631	0.103	0.814	0.619	0.127	0.875	0.375	0.9	0.016	0.643	0.904	0.639	0.443	0.185	0.831	0.739	0.483	0.83	0.078	0.755
upper95_perm_direct	0.1571	0.0925	0.037	0.0416	0.0294	0.0426	0.0438	0.0355	0.0492	0.0283	0.0492	0.0369	0.0542	0.0477	0.0414	0.0321	0.0277	0.0468	0.048	0.038	0.0414	0.0408	0.0445	0.0419	0.0424	0.0426	0.0311	0.0304	0.0469	0.0433	0.0404	0.048	0.0337	0.0436	0.0377	0.0342	0.0355	0.057	0.0384	0.0403	0.0444	0.0337	0.0431	0.0504	0.0389	0.0446	0.0375	0.0349	0.0412	0.0442	0.0367	0.0301	0.0294	0.0409	0.0411	0.0555	0.0397	0.0368	0.039	0.0355	0.0462	0.0401	0.0375	0.0357	0.0573	0.0383	0.0394	0.0386	0.0397	0.0298	0.0362	0.0331	0.0443	0.0568	0.0299	0.0613	0.0321	0.033	0.0334	0.0464	0.0364	0.0408	0.0334	0.0333	0.0402	0.0424	0.0346	0.0455	0.0446	0.0294	0.0306	0.0326	0.0342	0.0345	0.0367	0.0245	0.0312	0.0268	0.0441	0.0377
lower0_perm_direct	-0.0322	-0.0118	-0.0108	-0.01	-0.007	-0.0102	-0.0062	-0.0079	-0.0109	-0.0068	-0.0091	-0.0065	-0.0066	-0.0077	-0.0087	-0.0115	-0.0064	-0.0075	-0.0069	-0.0071	-0.009	-0.0083	-0.0085	-0.0141	-0.0082	-0.0088	-0.0064	-0.0079	-0.0075	-0.0093	-0.0066	-0.0082	-0.0076	-0.0071	-0.0064	-0.0122	-0.0068	-0.0087	-0.0072	-0.0063	-0.0071	-0.0068	-0.0069	-0.0079	-0.0077	-0.0076	-0.0072	-0.0065	-0.0058	-0.0084	-0.0064	-0.0067	-0.0067	-0.0091	-0.0067	-0.0071	-0.007	-0.0069	-0.0066	-0.0059	-0.0094	-0.0066	-0.0093	-0.0079	-0.0121	-0.0074	-0.0084	-0.008	-0.0065	-0.0063	-0.0063	-0.0065	-0.0105	-0.0069	-0.0077	-0.0091	-0.0073	-0.0059	-0.0084	-0.0063	-0.0063	-0.0088	-0.0075	-0.0078	-0.0065	-0.0069	-0.0065	-0.0093	-0.0062	-0.0064	-0.0064	-0.0074	-0.0086	-0.008	-0.0071	-0.0077	-0.0069	-0.0074	-0.0085	-0.0089
sad_vc_estimate	-0.0235	0.0274	0.0314	-0.0066	0.0217	0.0253	0.0236	0.0259	0.0268	0.0118	0.1099	-0.0041	0.0445	-0.0004	0.0263	-0.008	0.0195	0.0688	0.028	0.0379	0.0008	0.0741	0.0676	-0.0097	-0.0031	-0.0063	0.0039	0.0034	0.0016	-0.0025	0.0092	0.0061	0.0252	0.0022	0.0475	-0.0086	0.0007	-0.0036	0.0067	-0.003	-0.0022	0.02	-0.0047	0.0162	0.0239	-0.0056	0.0732	0.0084	0.0024	0.0475	-0.0022	0.0085	0.0149	-0.0062	0.0301	0.0679	-0.0016	0.0002	0.026	0.0068	0.0651	0.0006	-0.0031	0.0725	0.0241	0.0339	-0.0045	0.0214	0.0215	-0.0023	-0.0047	0.1124	-0.0076	0.0091	-0.001	-0.0001	0.0032	0.0046	-0.0045	-0.0016	-0.0047	0.0293	-0.0033	0.0114	0.0314	-0.0049	0.0009	-0.0034	0.0613	0.0025	-0.0001	0.017	0.0096	0.0311	-0.0053	-0.0014	0.007	-0.0051	0.0041	-0.0059
sad_vc_estimate_se	0.1462	0.0497	0.0454	0.0456	0.0321	0.0427	0.0284	0.0356	0.0463	0.0307	0.0422	0.0298	0.0317	0.0351	0.0377	0.0525	0.0293	0.0327	0.0296	0.0325	0.039	0.0356	0.0362	0.0597	0.0368	0.0388	0.0289	0.0335	0.0344	0.0411	0.0307	0.0376	0.0322	0.0313	0.0297	0.0531	0.0297	0.0397	0.0323	0.0289	0.0309	0.0315	0.032	0.0333	0.034	0.0352	0.0335	0.0308	0.0274	0.0368	0.028	0.0305	0.0308	0.0394	0.0302	0.0334	0.0304	0.0312	0.0298	0.0269	0.0394	0.031	0.0427	0.0359	0.0528	0.0342	0.0354	0.0334	0.0294	0.0267	0.0286	0.0296	0.0478	0.0293	0.0337	0.0413	0.0308	0.027	0.0355	0.0297	0.0293	0.0387	0.0339	0.0335	0.0296	0.0314	0.0294	0.0404	0.0281	0.0271	0.0295	0.0314	0.0391	0.0375	0.0329	0.0336	0.0302	0.0317	0.0356	0.0377
sad_vc_pvals	0.948	0.348	0.163	0.826	0.155	0.205	0.216	0.157	0.224	0.246	0.011	0.83	0.156	0.622	0.195	0.867	0.151	0.05	0.166	0.084	0.522	0.035	0.037	0.998	0.672	0.98	0.454	0.401	0.555	0.632	0.355	0.412	0.116	0.527	0.116	0.965	0.531	0.713	0.397	0.772	0.706	0.199	0.854	0.325	0.186	0.937	0.021	0.349	0.493	0.066	0.687	0.326	0.248	0.926	0.141	0.069	0.652	0.568	0.212	0.37	0.037	0.552	0.651	0.022	0.223	0.134	0.799	0.228	0.208	0.68	0.988	0.005	0.924	0.459	0.576	0.629	0.484	0.372	0.757	0.677	0.961	0.154	0.706	0.269	0.162	0.9	0.556	0.7	0.083	0.464	0.584	0.222	0.281	0.121	0.935	0.598	0.332	0.979	0.44	0.9
upper95_perm_sad	0.2474	0.1404	0.0815	0.0701	0.0524	0.0782	0.0757	0.0627	0.0964	0.0478	0.0763	0.0619	0.0976	0.0896	0.085	0.0639	0.052	0.0803	0.0808	0.0577	0.0661	0.0714	0.0664	0.0635	0.0557	0.0736	0.0571	0.0503	0.0806	0.0764	0.0671	0.0685	0.0486	0.0771	0.0917	0.0569	0.0607	0.0832	0.0721	0.0715	0.0758	0.057	0.0583	0.092	0.0737	0.0785	0.06	0.06	0.0585	0.0615	0.0589	0.0549	0.0562	0.066	0.0731	0.0934	0.0604	0.0661	0.0767	0.0525	0.064	0.0637	0.0757	0.0584	0.086	0.0679	0.0683	0.0685	0.0677	0.0515	0.0658	0.0638	0.072	0.115	0.0553	0.1055	0.0681	0.043	0.0535	0.0778	0.0628	0.0748	0.0586	0.0598	0.0709	0.0647	0.063	0.0822	0.0885	0.0504	0.0683	0.058	0.0528	0.0599	0.0558	0.0531	0.043	0.0502	0.0738	0.057
lower0_perm_sad	-0.0318	-0.0108	-0.0094	-0.0099	-0.0073	-0.0095	-0.0063	-0.0085	-0.0097	-0.0069	-0.0094	-0.0065	-0.0071	-0.0078	-0.0089	-0.0124	-0.0065	-0.0071	-0.0068	-0.0075	-0.0084	-0.0076	-0.008	-0.0137	-0.0082	-0.0085	-0.0063	-0.0073	-0.0083	-0.0088	-0.0067	-0.0086	-0.0071	-0.0069	-0.0064	-0.0119	-0.0069	-0.0088	-0.0071	-0.0062	-0.0069	-0.0071	-0.0075	-0.0076	-0.0073	-0.0081	-0.0078	-0.0068	-0.006	-0.0083	-0.0061	-0.0067	-0.0067	-0.0092	-0.0067	-0.0072	-0.0071	-0.0068	-0.0066	-0.0062	-0.0091	-0.0069	-0.0095	-0.0079	-0.0117	-0.0076	-0.0079	-0.0078	-0.0066	-0.0064	-0.0064	-0.0065	-0.0104	-0.0064	-0.008	-0.0092	-0.0071	-0.0059	-0.0084	-0.0063	-0.0063	-0.0092	-0.0076	-0.0072	-0.0066	-0.007	-0.0065	-0.0088	-0.006	-0.0064	-0.0065	-0.0074	-0.0085	-0.0085	-0.007	-0.0081	-0.007	-0.0076	-0.0081	-0.0087
covar_vc_estimate	0.0453	-0.0187	-0.0265	0.0117	-0.0257	-0.0463	-0.0137	-0.0589	-0.0221	-0.0238	-0.1052	0.0086	-0.0634	0.0047	-0.0398	0.0187	-0.0405	-0.0718	-0.0265	-0.041	-0.0115	-0.104	-0.0467	0.0193	0.0129	0.0126	0.0041	-0.0035	0.0031	0.018	-0.0203	-0.0101	-0.0323	-0.0068	-0.0763	0.0175	0.0011	0.0016	0.0052	0.0069	0.0063	-0.0276	0.0072	-0.0076	-0.041	0.0107	-0.0719	-0.0137	-0.009	-0.0571	0.0074	-0.0051	-0.0291	0.0122	-0.0366	-0.069	0.0076	0.0016	-0.0457	-0.0016	-0.1034	-0.0034	0.0166	-0.1212	-0.0435	-0.0627	0.0081	-0.0295	-0.0395	0.0053	0.0093	-0.1479	0.0152	-0.0109	0.0011	0.0076	-0.0053	-0.0076	0.0093	0.0036	0.01	-0.0521	0.0088	-0.0017	-0.0498	0.0106	-0.0036	0.0112	-0.1163	0.0019	0.0078	-0.0043	-0.0072	-0.0427	0.0102	0.0071	-0.0042	0.0104	-0.0258	0.0112
covar_vc_estimate_se	0.423	0.2049	0.1939	0.1945	0.1577	0.1869	0.1469	0.1678	0.1963	0.1538	0.1857	0.151	0.1567	0.1665	0.1735	0.2121	0.1496	0.1597	0.1505	0.1591	0.1769	0.1677	0.1693	0.23	0.1711	0.1766	0.1486	0.1619	0.1644	0.1826	0.1537	0.1732	0.158	0.1556	0.151	0.2138	0.1509	0.1789	0.1585	0.1484	0.1544	0.1562	0.1575	0.1612	0.1633	0.1667	0.1617	0.154	0.1441	0.1711	0.1458	0.1533	0.1541	0.1781	0.1523	0.1616	0.1528	0.1554	0.1511	0.1425	0.1781	0.1547	0.187	0.1685	0.2129	0.1639	0.1671	0.1616	0.1501	0.142	0.1477	0.1507	0.2002	0.1497	0.1624	0.1833	0.154	0.143	0.1675	0.1507	0.1497	0.1762	0.163	0.1618	0.1506	0.1557	0.1501	0.1808	0.1461	0.1433	0.1503	0.1558	0.1773	0.1731	0.1601	0.1621	0.1524	0.1568	0.1677	0.1736
