	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0764	-0.0019	0.0093	0.0115	0.0013	-0.001	0.0237	-0.0031	0.0474	0.0034	0.0039	0.004	-0.0014	0.0128	-0.0023	-0.0018	-0.0011	0.0676	0.0119	0.001	0.0077	0.0197	0.0044	-0.003	-0.0036	0.0129	0.0128	-0.0037	0.0442	-0.0026	-0.0012	0.0083	-0.002	0.0613	0.0013	-0.0026	0.015	-0.0027	0.0484	-0.0044	0.0004	-0.0038	-0.0026	-0.0022	0.0108	0.0391	-0.0024	0.0064	0.0051	-0.0026	-0.003	-0.0038	-0.002	-0.0008	-0.0017	0.0078	-0.0025	-0.0037	-0.0028	-0.0017	-0.0021	0.004	0.0001	0.0288	0.0294	-0.0019	-0.0018	-0.001	0.012	0.0325	0.0236	0.0006	0.0159	-0.0022	0.0135	-0.0022	0.0043	-0.0029	-0.0032	0.0427	-0.0011	0.018	0.0003	0.0096	0.0094	-0.0014	-0.0003	-0.0022	0.0007	-0.0018	0.0561	0.0002	0.023	-0.0018	0.0173	-0.0011	-0.0036	0.0054	-0.0036	-0.0015
direct_vc_estimate_se	0.0124	0.0025	0.0026	0.0032	0.0043	0.0021	0.0025	0.0029	0.0038	0.0016	0.0018	0.0029	0.0018	0.0031	0.0035	0.004	0.0026	0.0022	0.0024	0.0032	0.0019	0.0024	0.0016	0.0029	0.0032	0.0028	0.0024	0.0035	0.0035	0.0023	0.0027	0.0022	0.004	0.0024	0.0019	0.0023	0.0047	0.0031	0.0039	0.0045	0.0044	0.0036	0.0029	0.0024	0.0024	0.0036	0.0021	0.002	0.0025	0.0025	0.0032	0.0035	0.0028	0.0032	0.0025	0.003	0.0022	0.0033	0.0036	0.002	0.0028	0.0033	0.003	0.0037	0.003	0.0034	0.0041	0.0034	0.003	0.002	0.003	0.0038	0.0029	0.002	0.0026	0.0021	0.0029	0.0037	0.0033	0.0024	0.0024	0.0031	0.002	0.003	0.0031	0.0024	0.0041	0.0025	0.0028	0.002	0.0027	0.002	0.0028	0.0016	0.0052	0.0021	0.0032	0.0031	0.0032	0.0021
direct_vc_pvals	0.204	0.78	0.345	0.339	0.57	0.601	0.135	0.902	0.04	0.334	0.321	0.445	0.822	0.197	0.74	0.669	0.616	0.004	0.19	0.784	0.203	0.188	0.335	0.857	0.919	0.191	0.205	0.847	0.038	0.984	0.703	0.168	0.654	0.004	0.49	0.961	0.175	0.797	0.199	0.79	0.482	0.942	0.741	0.727	0.296	0.042	0.976	0.261	0.35	0.878	0.78	0.924	0.763	0.515	0.744	0.216	0.995	0.984	0.808	0.809	0.755	0.47	0.593	0.161	0.066	0.605	0.664	0.716	0.169	0.011	0.095	0.23	0.276	0.952	0.066	0.91	0.323	0.777	0.806	0.035	0.776	0.328	0.401	0.154	0.279	0.637	0.582	0.848	0.377	0.794	0.02	0.539	0.098	0.992	0.159	0.708	0.978	0.312	0.96	0.729
upper95_perm_direct	0.1754	0.034	0.0516	0.0568	0.0548	0.0137	0.0397	0.0466	0.0425	0.0169	0.0195	0.0347	0.0327	0.0275	0.0423	0.0395	0.0223	0.0369	0.0278	0.0544	0.0212	0.0401	0.0192	0.0183	0.0306	0.0304	0.0334	0.0249	0.0413	0.0223	0.0382	0.0207	0.0397	0.0304	0.0238	0.0239	0.0335	0.0473	0.0903	0.0231	0.0322	0.0564	0.0209	0.0193	0.0376	0.0369	0.023	0.0233	0.03	0.0255	0.0277	0.0338	0.0464	0.0184	0.0354	0.0238	0.0218	0.0427	0.0548	0.0288	0.0433	0.0359	0.0381	0.0632	0.0336	0.0193	0.0601	0.0529	0.0263	0.0188	0.0325	0.0073	0.0462	0.0136	0.0158	0.0323	0.0281	0.0413	0.0248	0.0392	0.0212	0.0462	0.0107	0.0198	0.0366	0.0176	0.0519	0.0513	0.0141	0.0193	0.0417	0.0175	0.0293	0.0284	0.0351	0.0309	0.0219	0.0287	0.0364	0.0307
lower0_perm_direct	-0.0161	-0.0032	-0.0033	-0.0041	-0.0056	-0.0028	-0.0034	-0.0038	-0.005	-0.0022	-0.0024	-0.0037	-0.0023	-0.004	-0.0046	-0.0052	-0.0034	-0.0028	-0.0031	-0.0042	-0.0025	-0.0031	-0.0021	-0.0037	-0.0041	-0.0039	-0.0032	-0.0046	-0.0045	-0.0031	-0.0035	-0.0029	-0.0052	-0.0031	-0.0025	-0.003	-0.0059	-0.0041	-0.0051	-0.0059	-0.0058	-0.0046	-0.004	-0.0032	-0.003	-0.0047	-0.0028	-0.0025	-0.0034	-0.0032	-0.0042	-0.0046	-0.0036	-0.0042	-0.0033	-0.0039	-0.003	-0.0041	-0.0049	-0.0027	-0.0036	-0.0043	-0.004	-0.0048	-0.0038	-0.0045	-0.0054	-0.0044	-0.0039	-0.0026	-0.0039	-0.0049	-0.0037	-0.0028	-0.0034	-0.0028	-0.0039	-0.0049	-0.0042	-0.0031	-0.0031	-0.0039	-0.0026	-0.004	-0.0041	-0.003	-0.0057	-0.0034	-0.0037	-0.0026	-0.0037	-0.0025	-0.0038	-0.0022	-0.0068	-0.0027	-0.0043	-0.0039	-0.0044	-0.0027
sad_vc_estimate	0.1624	0.0016	0.021	0.0074	-0.0035	0.0174	0.031	-0.0026	0.0484	0.0013	0.0074	0.0209	-0.0018	0.0172	-0.0021	-0.0027	-0.0023	0.1373	0.0284	0.0117	0.0189	0.0272	0.0016	0.0021	-0.0036	0.0012	0.0216	-0.0037	0.0671	-0.0027	0.0013	0.0071	0.004	0.0571	-0.0006	-0.0006	0.0787	0.0061	0.076	0.0043	-0.0002	-0.002	0.0054	-0.0023	0.0221	0.0427	-0.0022	0.0071	0.0021	-0.0013	0.0016	-0.0003	-0.0031	-0.0036	-0.0015	0.0226	-0.0007	-0.0037	-0.0037	-0.0021	-0.0002	0.0124	0.0048	0.0287	0.0538	-0.0025	0.0022	-0.0031	0.0056	0.0712	0.0549	-0.0042	0.008	0.0069	0.0127	-0.0022	0.0254	0.0126	0.0075	0.0589	0.001	0.0087	-0.0023	0.0002	0.0197	-0.0013	-0.0046	-0.0005	-0.0031	-0.0018	0.0744	0.0053	0.042	0.0	0.0663	-0.0007	0.001	-0.0006	0.0023	-0.0012
sad_vc_estimate_se	0.0126	0.0025	0.0026	0.0032	0.0044	0.0022	0.0025	0.0029	0.0038	0.0016	0.0018	0.003	0.0018	0.0031	0.0035	0.004	0.0026	0.0022	0.0024	0.0032	0.002	0.0025	0.0016	0.0029	0.0033	0.0028	0.0024	0.0035	0.0035	0.0024	0.0028	0.0022	0.004	0.0024	0.002	0.0024	0.0048	0.0032	0.004	0.0046	0.0044	0.0036	0.003	0.0025	0.0024	0.0036	0.0021	0.002	0.0025	0.0025	0.0033	0.0035	0.0028	0.0033	0.0025	0.003	0.0023	0.0033	0.0037	0.002	0.0028	0.0033	0.003	0.0037	0.003	0.0034	0.0042	0.0034	0.003	0.002	0.0031	0.0038	0.003	0.002	0.0026	0.0021	0.0029	0.0038	0.0033	0.0024	0.0025	0.0032	0.002	0.0031	0.0031	0.0024	0.0042	0.0025	0.0028	0.002	0.0027	0.002	0.0029	0.0016	0.0052	0.0021	0.0032	0.0031	0.0032	0.0021
sad_vc_pvals	0.144	0.578	0.306	0.492	0.867	0.087	0.137	0.851	0.099	0.553	0.286	0.253	0.921	0.327	0.778	0.754	0.809	0.0	0.131	0.628	0.143	0.227	0.593	0.518	0.94	0.635	0.202	0.87	0.044	0.982	0.628	0.28	0.552	0.027	0.72	0.695	0.057	0.443	0.174	0.453	0.617	0.745	0.428	0.798	0.302	0.09	0.898	0.351	0.592	0.767	0.539	0.689	0.945	0.959	0.75	0.176	0.688	0.97	0.91	0.912	0.69	0.391	0.504	0.27	0.07	0.765	0.684	0.883	0.404	0.005	0.079	0.914	0.522	0.265	0.199	0.903	0.11	0.452	0.385	0.064	0.72	0.675	0.938	0.48	0.266	0.7	0.944	0.765	0.924	0.78	0.021	0.344	0.108	0.682	0.066	0.74	0.588	0.632	0.607	0.773
upper95_perm_sad	0.3062	0.0482	0.0857	0.0757	0.1007	0.0242	0.0562	0.0675	0.0636	0.0325	0.0282	0.0629	0.0541	0.0618	0.0854	0.0753	0.0433	0.0643	0.0468	0.096	0.0311	0.0685	0.0338	0.0382	0.0568	0.0649	0.0527	0.0401	0.0637	0.0387	0.0633	0.0299	0.0656	0.0466	0.0437	0.0418	0.0831	0.0525	0.1367	0.0456	0.0587	0.0717	0.0467	0.0297	0.0734	0.0579	0.0407	0.0319	0.0627	0.049	0.0426	0.0771	0.0702	0.0467	0.051	0.0493	0.0364	0.062	0.0953	0.0523	0.0694	0.0643	0.068	0.101	0.0622	0.0473	0.108	0.0613	0.0391	0.041	0.0691	0.0344	0.0856	0.0227	0.0317	0.0539	0.0392	0.0911	0.048	0.0629	0.0356	0.0834	0.0186	0.0224	0.0646	0.0336	0.0827	0.076	0.0366	0.0261	0.0564	0.0236	0.0577	0.0362	0.0749	0.0529	0.0425	0.0439	0.0699	0.0479
lower0_perm_sad	-0.0163	-0.0034	-0.0034	-0.0042	-0.0056	-0.0028	-0.0032	-0.0037	-0.0051	-0.0022	-0.0025	-0.0039	-0.0023	-0.0042	-0.0046	-0.0053	-0.0034	-0.0029	-0.0032	-0.0041	-0.0025	-0.0033	-0.0021	-0.0038	-0.0043	-0.0036	-0.003	-0.0047	-0.0046	-0.0031	-0.0036	-0.0029	-0.0054	-0.0031	-0.0027	-0.0031	-0.0061	-0.004	-0.0052	-0.0059	-0.0056	-0.0049	-0.0039	-0.0033	-0.003	-0.0046	-0.0028	-0.0026	-0.0034	-0.0033	-0.0043	-0.0044	-0.0037	-0.0043	-0.0034	-0.0039	-0.003	-0.0042	-0.0049	-0.0026	-0.0036	-0.0042	-0.004	-0.0048	-0.0039	-0.0044	-0.0055	-0.0045	-0.0037	-0.0026	-0.0039	-0.0051	-0.0038	-0.0026	-0.0034	-0.0028	-0.0038	-0.0048	-0.0046	-0.003	-0.0031	-0.004	-0.0027	-0.0039	-0.0041	-0.0032	-0.0054	-0.0035	-0.0036	-0.0026	-0.0035	-0.0026	-0.0039	-0.0022	-0.0073	-0.003	-0.0043	-0.0041	-0.0044	-0.0028
covar_vc_estimate	-0.2247	0.0015	-0.0284	-0.0187	0.0038	-0.0057	-0.0542	0.0072	-0.0958	-0.0044	-0.0109	-0.02	0.0048	-0.0297	0.0044	0.0045	0.0036	-0.193	-0.0372	-0.0095	-0.0244	-0.0464	-0.0056	0.0041	0.0071	-0.0104	-0.0334	0.0074	-0.1091	0.0053	0.0004	-0.0155	-0.0002	-0.1184	-0.0004	0.005	-0.0721	0.0013	-0.1215	0.005	-0.0002	0.0067	0.0015	0.0066	-0.0313	-0.0817	0.0049	-0.0135	-0.0069	0.0045	0.011	0.0066	0.0056	0.008	0.0031	-0.0273	0.005	0.0073	0.0096	0.0039	0.0028	-0.0149	-0.004	-0.0575	-0.0798	0.0109	0.0005	0.0047	-0.0167	-0.0965	-0.0726	0.007	-0.023	0.0039	-0.0262	0.0044	-0.023	-0.001	0.0024	-0.1004	0.0004	-0.0255	0.004	-0.0069	-0.0277	0.0081	0.0078	0.0033	0.0076	0.0054	-0.1292	-0.0041	-0.0625	0.0037	-0.0702	0.0017	0.0069	-0.0031	0.0064	0.0027
covar_vc_estimate_se	0.2393	0.1061	0.1091	0.1205	0.1406	0.0988	0.1072	0.1147	0.1319	0.0846	0.0902	0.1158	0.0908	0.1186	0.1266	0.1352	0.1093	0.0993	0.1051	0.1201	0.0943	0.1058	0.0854	0.1148	0.1216	0.1128	0.1038	0.1263	0.1262	0.1036	0.1116	0.0996	0.1347	0.1048	0.0939	0.1035	0.147	0.1198	0.1341	0.1439	0.1417	0.1278	0.116	0.1057	0.1037	0.1285	0.0985	0.0948	0.1069	0.1065	0.1217	0.126	0.1134	0.1216	0.1071	0.1168	0.1009	0.1219	0.1289	0.0949	0.1128	0.1219	0.1167	0.13	0.1166	0.1244	0.1373	0.1241	0.1162	0.0957	0.1177	0.132	0.1158	0.0953	0.1083	0.0982	0.1143	0.1306	0.1229	0.104	0.1056	0.1195	0.0959	0.1175	0.1187	0.1041	0.1378	0.1061	0.113	0.0952	0.1113	0.0949	0.1141	0.0858	0.1541	0.0984	0.1203	0.119	0.1204	0.0971
covar_vc_pvals	0.145	0.183	0.389	0.487	0.16	0.367	0.096	0.05	0.023	0.483	0.312	0.364	0.04	0.259	0.136	0.206	0.194	0.0	0.122	0.178	0.134	0.168	0.452	0.264	0.093	0.473	0.193	0.177	0.005	0.095	0.215	0.213	0.299	0.002	0.272	0.087	0.077	0.231	0.151	0.373	0.335	0.1	0.368	0.053	0.32	0.041	0.07	0.316	0.423	0.101	0.04	0.171	0.083	0.186	0.148	0.193	0.087	0.078	0.054	0.087	0.172	0.483	0.358	0.209	0.03	0.065	0.237	0.12	0.279	0.001	0.052	0.373	0.453	0.153	0.088	0.072	0.19	0.251	0.302	0.016	0.146	0.428	0.21	0.295	0.269	0.081	0.125	0.098	0.12	0.064	0.001	0.481	0.059	0.044	0.068	0.173	0.123	0.454	0.101	0.168
upper975_perm_covar	0.0338	0.0076	0.0077	0.0084	0.0139	0.01	0.0071	0.0092	0.0134	0.0059	0.0065	0.0117	0.0059	0.0082	0.0101	0.0145	0.0083	0.0065	0.0085	0.0062	0.0062	0.0089	0.005	0.0147	0.0111	0.0133	0.0062	0.0157	0.0144	0.0088	0.0082	0.0099	0.0155	0.0071	0.0061	0.0074	0.0238	0.0112	0.0095	0.0246	0.0134	0.014	0.015	0.0083	0.0084	0.0138	0.0079	0.0057	0.0083	0.009	0.0126	0.0176	0.0098	0.0166	0.0074	0.0108	0.0085	0.0127	0.0144	0.0061	0.0096	0.0096	0.0096	0.0118	0.0144	0.0154	0.0171	0.0122	0.0087	0.0065	0.0116	0.0237	0.0093	0.007	0.0116	0.007	0.0116	0.012	0.0147	0.0063	0.0073	0.0059	0.0088	0.0134	0.0101	0.0127	0.0168	0.0068	0.0142	0.0077	0.008	0.0059	0.0092	0.0045	0.0256	0.0064	0.0132	0.0112	0.0119	0.0076
lower025_perm_covar	-0.5019	-0.0731	-0.1249	-0.1175	-0.1418	-0.0321	-0.0847	-0.0997	-0.0936	-0.0436	-0.0437	-0.0854	-0.079	-0.0784	-0.1126	-0.1055	-0.0628	-0.0934	-0.0681	-0.1407	-0.0467	-0.0952	-0.0536	-0.0501	-0.079	-0.0908	-0.08	-0.0524	-0.0901	-0.0555	-0.0864	-0.045	-0.1	-0.0695	-0.062	-0.0586	-0.1063	-0.0905	-0.2087	-0.0603	-0.0901	-0.1174	-0.0694	-0.041	-0.1023	-0.0974	-0.0566	-0.0532	-0.0834	-0.0737	-0.0635	-0.1142	-0.0954	-0.066	-0.0792	-0.0738	-0.054	-0.0935	-0.1415	-0.0733	-0.1012	-0.0947	-0.0851	-0.1427	-0.0852	-0.0631	-0.1497	-0.0993	-0.0594	-0.0526	-0.1079	-0.0367	-0.1167	-0.0326	-0.0426	-0.0817	-0.0649	-0.1214	-0.067	-0.0956	-0.0483	-0.113	-0.0251	-0.0347	-0.0904	-0.0499	-0.1318	-0.1092	-0.0469	-0.0422	-0.0901	-0.0396	-0.0767	-0.0567	-0.104	-0.075	-0.0599	-0.063	-0.0929	-0.0671
