	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0	-0.0064	0.0017	0.0024	0.0081	0.0082	0.0247	0.0004	0.0111	0.0268	0.002	-0.0035	0.0151	0.0031	-0.0033	0.0069	-0.0026	0.0087	0.0081	-0.0017	0.0089	0.0012	0.0035	0.0122	0.0056	0.0306	-0.0031	-0.0022	-0.0031	-0.0019	0.0096	-0.0021	0.0004	0.0042	0.0031	-0.0024	-0.003	-0.0018	-0.0021	-0.0023	0.0021	0.0244	0.0072	0.0029	0.0043	0.0181	0.0192	-0.0018	0.0046	-0.001	-0.0034	0.0029	-0.0008	-0.0033	-0.0017	0.0017	0.0063	0.0127	0.002	0.0189	0.0065	-0.0004	0.0173	-0.0026	0.0277	0.0225	0.0014	-0.002	0.0182	0.0156	0.0014	-0.0024	0.0071	-0.0029	0.003	0.0047	-0.0025	-0.0039	-0.0028	-0.0007	-0.0024	-0.0022	0.0003	0.0052	0.0017	0.001	-0.0024	0.0123	-0.0006	0.0002	-0.0011	0.0217	-0.0009	-0.0025	0.0318	0.0031	0.0005	-0.0022	0.0007	0.0109
direct_vc_estimate_se	0.0088	0.0048	0.0027	0.0022	0.0026	0.0022	0.0018	0.0022	0.0025	0.0022	0.0025	0.0026	0.0028	0.002	0.0029	0.0028	0.0021	0.0019	0.0024	0.0022	0.0021	0.0022	0.0037	0.0048	0.0019	0.0022	0.0022	0.0022	0.0023	0.0022	0.0032	0.0022	0.0025	0.0031	0.0019	0.0019	0.0022	0.0023	0.0021	0.0021	0.0019	0.0027	0.0028	0.002	0.0023	0.002	0.002	0.002	0.0027	0.002	0.0029	0.0025	0.0021	0.0024	0.002	0.0024	0.0024	0.0023	0.0022	0.0021	0.002	0.0018	0.002	0.002	0.0025	0.004	0.0023	0.0019	0.002	0.0018	0.0019	0.0018	0.0023	0.0021	0.0018	0.0025	0.0018	0.0028	0.0026	0.0027	0.0018	0.0023	0.0021	0.0019	0.0018	0.0018	0.0018	0.0019	0.0022	0.0018	0.002	0.0022	0.0018	0.0022	0.003	0.0017	0.0024	0.0019	0.002	0.0019
direct_vc_pvals	0.492	0.888	0.34	0.359	0.165	0.151	0.031	0.557	0.126	0.077	0.39	0.942	0.166	0.294	0.741	0.266	0.812	0.205	0.19	0.662	0.176	0.528	0.315	0.143	0.235	0.022	0.979	0.737	0.91	0.657	0.165	0.708	0.41	0.307	0.339	0.802	0.964	0.624	0.723	0.73	0.384	0.057	0.192	0.351	0.361	0.057	0.068	0.701	0.3	0.587	0.781	0.28	0.57	0.981	0.646	0.36	0.185	0.093	0.324	0.059	0.144	0.588	0.064	0.886	0.037	0.05	0.396	0.702	0.021	0.061	0.367	0.888	0.226	0.935	0.308	0.239	0.983	0.975	0.73	0.477	0.889	0.666	0.487	0.189	0.376	0.398	0.898	0.065	0.558	0.416	0.565	0.014	0.599	0.755	0.029	0.316	0.476	0.774	0.413	0.137
upper95_perm_direct	0.1048	0.074	0.0305	0.0262	0.0251	0.0227	0.0245	0.0551	0.0307	0.0466	0.032	0.0404	0.0421	0.0253	0.0317	0.041	0.0275	0.029	0.0297	0.0258	0.0296	0.0481	0.0287	0.0329	0.0266	0.0287	0.0226	0.0321	0.027	0.0247	0.0287	0.0325	0.0269	0.0355	0.0301	0.0237	0.0264	0.0239	0.0264	0.0232	0.0248	0.0343	0.0246	0.028	0.0402	0.025	0.0296	0.0297	0.0325	0.0333	0.0262	0.0219	0.0246	0.0414	0.0242	0.0248	0.0233	0.0264	0.0242	0.027	0.0194	0.0278	0.0269	0.0205	0.0314	0.0303	0.0272	0.0198	0.0181	0.0223	0.0198	0.0197	0.0297	0.0229	0.0265	0.0242	0.0229	0.0255	0.0298	0.022	0.025	0.0266	0.0279	0.0206	0.022	0.0219	0.0233	0.0204	0.033	0.0212	0.0227	0.0189	0.0264	0.0283	0.0337	0.0284	0.0298	0.026	0.0229	0.0297
lower0_perm_direct	-0.0193	-0.0106	-0.0064	-0.005	-0.0059	-0.0047	-0.0041	-0.0051	-0.0056	-0.0049	-0.0056	-0.0058	-0.0061	-0.0047	-0.0065	-0.0064	-0.0048	-0.0043	-0.0056	-0.0052	-0.0049	-0.0048	-0.0085	-0.0111	-0.0041	-0.0051	-0.0051	-0.0049	-0.0051	-0.005	-0.007	-0.0052	-0.0056	-0.0069	-0.0043	-0.0044	-0.0048	-0.0049	-0.0046	-0.0046	-0.0043	-0.006	-0.0065	-0.0046	-0.0052	-0.0046	-0.0046	-0.0043	-0.0063	-0.0048	-0.0065	-0.0057	-0.0048	-0.0054	-0.0044	-0.0056	-0.0056	-0.0052	-0.0049	-0.005	-0.0046	-0.0041	-0.0044	-0.0045	-0.0057	-0.0089	-0.0054	-0.0043	-0.0046	-0.0042	-0.0043	-0.004	-0.0049	-0.0049	-0.0042	-0.0058	-0.0041	-0.0065	-0.0058	-0.006	-0.0042	-0.0052	-0.0048	-0.0045	-0.004	-0.0039	-0.004	-0.0045	-0.0051	-0.0042	-0.0047	-0.0048	-0.0039	-0.005	-0.0069	-0.0038	-0.0054	-0.0042	-0.0046	-0.0043
sad_vc_estimate	0.2327	0.0019	-0.0033	0.0008	0.0099	0.0076	0.0229	0.0002	0.0081	0.0582	0.0045	-0.0035	0.0434	0.0035	-0.0037	0.0002	-0.002	0.043	0.0143	-0.0027	0.0133	0.009	0.0127	0.0081	0.0047	0.0637	-0.0031	0.0103	-0.001	0.0015	0.0033	0.002	0.0088	0.0009	-0.0003	-0.0004	-0.0029	0.0039	-0.0027	0.0	0.0029	0.0417	0.006	0.0158	0.0254	0.0119	0.0543	-0.0025	0.0088	0.0029	-0.0034	0.0204	0.0082	-0.0032	0.0037	0.015	0.0149	0.0172	0.0023	0.0438	0.0159	0.0003	0.036	-0.0027	0.0267	0.0623	0.0088	0.0048	0.0127	0.0702	0.0124	0.0064	0.0144	-0.0013	0.0036	-0.0035	0.001	-0.0015	0.0017	0.004	0.0011	-0.0019	-0.0016	0.0221	0.0078	-0.0018	0.0048	0.0067	0.0052	-0.0014	-0.0022	0.0074	0.0095	-0.0031	0.0638	0.0135	-0.0034	-0.002	-0.0002	0.006
sad_vc_estimate_se	0.0089	0.0049	0.0028	0.0022	0.0026	0.0023	0.0018	0.0023	0.0026	0.0022	0.0026	0.0026	0.0028	0.0021	0.003	0.0028	0.0021	0.0019	0.0025	0.0023	0.0021	0.0023	0.0037	0.0048	0.0019	0.0022	0.0023	0.0022	0.0023	0.0022	0.0032	0.0022	0.0026	0.0031	0.002	0.0019	0.0022	0.0023	0.0021	0.0021	0.0019	0.0028	0.0029	0.0021	0.0023	0.0021	0.0021	0.002	0.0027	0.0021	0.0029	0.0025	0.0022	0.0024	0.0021	0.0025	0.0024	0.0024	0.0022	0.0021	0.002	0.0019	0.002	0.002	0.0025	0.004	0.0023	0.002	0.002	0.0018	0.0019	0.0018	0.0023	0.0022	0.0018	0.0025	0.0018	0.0029	0.0026	0.0027	0.0019	0.0023	0.0021	0.002	0.0018	0.0019	0.0018	0.0019	0.0022	0.0019	0.002	0.0022	0.0018	0.0022	0.0031	0.0018	0.0024	0.002	0.002	0.0019
sad_vc_pvals	0.03	0.565	0.855	0.549	0.298	0.309	0.161	0.676	0.345	0.096	0.463	0.929	0.101	0.447	0.852	0.613	0.755	0.034	0.278	0.859	0.258	0.432	0.245	0.296	0.363	0.02	0.935	0.325	0.622	0.485	0.376	0.507	0.248	0.55	0.617	0.592	0.905	0.429	0.864	0.588	0.439	0.092	0.363	0.228	0.156	0.206	0.032	0.89	0.333	0.528	0.808	0.114	0.31	0.887	0.379	0.19	0.149	0.14	0.441	0.022	0.199	0.597	0.031	0.905	0.112	0.014	0.354	0.357	0.122	0.008	0.188	0.289	0.209	0.647	0.376	0.921	0.527	0.601	0.518	0.354	0.556	0.701	0.724	0.075	0.273	0.741	0.352	0.26	0.423	0.704	0.782	0.287	0.26	0.986	0.019	0.238	0.995	0.81	0.599	0.366
upper95_perm_sad	0.2694	0.1419	0.0513	0.0463	0.0549	0.0503	0.0629	0.0798	0.0646	0.1095	0.0664	0.074	0.0866	0.0498	0.0559	0.0812	0.0501	0.049	0.0776	0.0617	0.057	0.0918	0.0609	0.0527	0.0464	0.0554	0.0384	0.0658	0.0479	0.0442	0.0431	0.0487	0.0462	0.0642	0.0495	0.0432	0.0568	0.0545	0.0502	0.0429	0.0441	0.0788	0.0516	0.06	0.0709	0.0482	0.0606	0.0483	0.0605	0.0679	0.0548	0.0459	0.0501	0.067	0.0428	0.0454	0.0432	0.0434	0.041	0.048	0.0543	0.0492	0.0424	0.0331	0.0536	0.0531	0.0574	0.0384	0.0282	0.0524	0.0404	0.038	0.0562	0.0337	0.0362	0.0507	0.0442	0.0489	0.051	0.0429	0.0633	0.0425	0.0551	0.0388	0.0385	0.0368	0.0367	0.0381	0.065	0.0322	0.0403	0.0397	0.045	0.0528	0.0592	0.0553	0.0782	0.0658	0.042	0.0511
lower0_perm_sad	-0.0207	-0.0105	-0.0065	-0.0049	-0.006	-0.0052	-0.0039	-0.0051	-0.0059	-0.0049	-0.0057	-0.0061	-0.0067	-0.0045	-0.0067	-0.0065	-0.0049	-0.0044	-0.0055	-0.005	-0.0047	-0.0049	-0.0087	-0.0112	-0.0044	-0.0051	-0.0053	-0.005	-0.0053	-0.0052	-0.0076	-0.0049	-0.0058	-0.007	-0.0045	-0.0043	-0.0049	-0.005	-0.0045	-0.0046	-0.0043	-0.0064	-0.0064	-0.0043	-0.005	-0.0047	-0.0045	-0.0046	-0.0062	-0.0044	-0.0066	-0.0054	-0.0049	-0.0056	-0.0046	-0.0057	-0.0056	-0.0054	-0.0049	-0.0048	-0.0046	-0.0041	-0.0045	-0.0044	-0.0059	-0.0094	-0.0049	-0.0043	-0.0046	-0.0041	-0.0041	-0.004	-0.0051	-0.0047	-0.004	-0.0058	-0.004	-0.0062	-0.006	-0.0061	-0.0044	-0.0052	-0.0047	-0.0043	-0.0044	-0.0039	-0.0041	-0.0044	-0.0047	-0.0043	-0.0046	-0.0049	-0.0041	-0.005	-0.0072	-0.004	-0.0051	-0.0043	-0.0046	-0.0045
