	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0023	0.0053	0.0024	0.0272	-0.0009	-0.0025	-0.0002	-0.0007	-0.001	-0.0007	0.0169	0.0031	-0.0014	0.0066	0.0221	0.001	0.0013	0.0138	0.0072	0.0201	-0.0007	0.0031	0.0043	0.0048	-0.0005	-0.0004	0.0053	0.0115	0.0288	-0.0001	0.0015	-0.0008	-0.0005	0.0103	0.0077	0.0035	0.0039	-0.0011	-0.001	0.0009	0.0047	0.0026	0.0056	0.0067	0.0123	0.0008	-0.0001	0.0013	0.0001	0.0002	0.0077	0.0037	0.0005	-0.0005	-0.0001	-0.0009	-0.0009	0.0024	0.003	0.0013	-0.001	0.0005	-0.0005	0.0187	0.0013	0.0124	0.0196	0.0078	-0.0005	-0.0	0.001	0.0054	0.006	0.0005	0.0072	-0.0008	-0.0004	-0.0007	0.0046	0.0004	-0.0003	0.0004	0.0011	0.0034	0.0006	0.0029	-0.0003	0.001	-0.0005	0.0007	0.0004	0.0042	0.0195	-0.0	-0.0007	0.0001	-0.0004	0.003	0.0052	0.0073
direct_vc_estimate_se	0.016	0.0077	0.0044	0.0056	0.0049	0.0137	0.0051	0.0121	0.0177	0.0044	0.0075	0.0059	0.0096	0.008	0.0047	0.0063	0.0096	0.005	0.0051	0.0071	0.0059	0.0055	0.0077	0.0063	0.0056	0.0056	0.004	0.0054	0.0069	0.0053	0.0048	0.005	0.005	0.005	0.0057	0.0051	0.0063	0.0057	0.0054	0.0057	0.0049	0.0055	0.0066	0.0047	0.0046	0.0056	0.0042	0.005	0.0058	0.0048	0.0044	0.005	0.0047	0.0043	0.0041	0.0044	0.0047	0.0043	0.0045	0.0046	0.005	0.0057	0.0056	0.0056	0.0055	0.0051	0.0044	0.0038	0.0054	0.005	0.0045	0.0044	0.0044	0.0054	0.0037	0.0046	0.0038	0.004	0.0059	0.0049	0.0056	0.0048	0.0042	0.0059	0.0044	0.0043	0.0048	0.0044	0.0054	0.004	0.0047	0.0044	0.0044	0.0048	0.0045	0.0037	0.0044	0.004	0.004	0.004
direct_vc_pvals	0.784	0.255	0.306	0.035	0.955	0.777	0.778	0.607	0.429	0.875	0.057	0.284	0.687	0.26	0.043	0.445	0.281	0.103	0.099	0.192	0.709	0.125	0.12	0.138	0.746	0.784	0.058	0.129	0.064	0.68	0.552	0.865	0.726	0.045	0.053	0.54	0.211	0.996	0.857	0.459	0.376	0.162	0.436	0.178	0.139	0.469	0.674	0.44	0.523	0.563	0.133	0.224	0.519	0.772	0.565	0.977	0.942	0.336	0.163	0.48	0.999	0.522	0.795	0.041	0.562	0.085	0.023	0.079	0.656	0.553	0.519	0.07	0.202	0.503	0.181	0.879	0.671	0.885	0.222	0.663	0.663	0.455	0.403	0.618	0.599	0.494	0.649	0.694	0.811	0.512	0.502	0.452	0.006	0.524	0.795	0.469	0.754	0.219	0.202	0.084
upper95_perm_direct	0.0513	0.0242	0.0161	0.0322	0.0142	0.0074	0.0317	0.0238	0.0141	0.0157	0.0234	0.0157	0.0144	0.0248	0.0261	0.0172	0.0114	0.0267	0.0142	0.0481	0.0113	0.007	0.0104	0.0121	0.0184	0.025	0.0072	0.0259	0.0422	0.0233	0.0223	0.0189	0.0157	0.0129	0.0105	0.0448	0.015	0.0138	0.01	0.0161	0.0315	0.0079	0.032	0.0173	0.0267	0.0143	0.0171	0.0175	0.0108	0.0129	0.0158	0.0139	0.0129	0.0129	0.0101	0.0226	0.0171	0.0169	0.0088	0.0178	0.0131	0.0147	0.0303	0.0235	0.0279	0.0203	0.0202	0.0129	0.0127	0.0119	0.0213	0.0085	0.0187	0.0167	0.0215	0.0203	0.0081	0.0205	0.0173	0.0291	0.018	0.012	0.0108	0.0467	0.0201	0.0313	0.0139	0.0337	0.0189	0.0132	0.0147	0.0312	0.0156	0.012	0.0122	0.0069	0.0177	0.0119	0.0153	0.012
lower0_perm_direct	-0.006	-0.0028	-0.0019	-0.0023	-0.0017	-0.0051	-0.0019	-0.0047	-0.0069	-0.0015	-0.0027	-0.0025	-0.0036	-0.003	-0.0018	-0.0025	-0.004	-0.0017	-0.0017	-0.0024	-0.0023	-0.002	-0.0028	-0.0023	-0.0018	-0.0022	-0.0014	-0.0021	-0.0024	-0.002	-0.0017	-0.002	-0.0018	-0.0018	-0.0021	-0.0019	-0.0023	-0.002	-0.0021	-0.002	-0.0017	-0.0024	-0.0025	-0.0016	-0.0018	-0.0024	-0.0014	-0.0017	-0.0022	-0.0019	-0.0015	-0.0018	-0.0017	-0.0014	-0.0015	-0.0017	-0.0017	-0.0016	-0.0016	-0.0017	-0.002	-0.0025	-0.0022	-0.002	-0.0021	-0.0018	-0.0016	-0.0013	-0.002	-0.0019	-0.0016	-0.0017	-0.0016	-0.0021	-0.0013	-0.0018	-0.0015	-0.0015	-0.0021	-0.0017	-0.002	-0.0018	-0.0014	-0.0021	-0.0016	-0.0016	-0.0018	-0.0015	-0.0019	-0.0015	-0.0018	-0.0015	-0.0017	-0.0017	-0.0016	-0.0013	-0.0016	-0.0016	-0.0015	-0.0014
sad_vc_estimate	-0.0006	0.0026	0.0019	0.0509	0.0011	0.0064	-0.0009	0.0161	0.0292	0.004	0.0347	-0.0009	0.0104	0.0156	0.0399	0.0059	0.0027	0.0378	0.0133	0.0471	0.0029	-0.001	-0.0003	0.0116	0.0075	-0.0001	0.0155	0.0586	0.0998	0.0066	0.0124	0.0	-0.001	0.0245	0.0344	0.0119	0.0015	-0.0008	0.0076	0.0008	0.0211	0.0107	0.0493	0.0472	0.0209	-0.0008	-0.0008	0.0008	0.0003	0.0184	0.0189	0.0138	0.005	-0.0008	-0.0008	-0.0006	-0.0006	0.0025	0.0017	0.0023	-0.001	0.0089	-0.0002	0.0493	0.0003	0.0272	0.0316	0.0188	0.001	0.0005	0.0009	0.0046	0.0151	-0.0008	0.0246	-0.0009	-0.0006	-0.0004	0.0095	0.0017	-0.0001	-0.0007	0.0029	0.0063	0.0066	0.0125	0.0116	0.0071	0.0073	0.0126	0.0006	0.0044	0.0574	-0.0008	0.0007	0.0043	-0.0004	0.0034	0.0051	0.026
sad_vc_estimate_se	0.0162	0.0078	0.0044	0.0057	0.005	0.0138	0.0052	0.0122	0.0179	0.0044	0.0076	0.006	0.0097	0.0081	0.0048	0.0064	0.0097	0.005	0.0052	0.0072	0.0059	0.0056	0.0078	0.0063	0.0057	0.0057	0.004	0.0055	0.0069	0.0054	0.0049	0.0051	0.005	0.005	0.0057	0.0051	0.0063	0.0058	0.0055	0.0058	0.0049	0.0055	0.0067	0.0047	0.0047	0.0056	0.0043	0.005	0.0059	0.0048	0.0044	0.0051	0.0048	0.0043	0.0042	0.0044	0.0047	0.0043	0.0045	0.0047	0.0051	0.0058	0.0056	0.0056	0.0055	0.0052	0.0045	0.0038	0.0054	0.0051	0.0045	0.0045	0.0044	0.0055	0.0037	0.0047	0.0038	0.0041	0.006	0.0049	0.0057	0.0048	0.0042	0.006	0.0045	0.0044	0.0048	0.0044	0.0054	0.0041	0.0047	0.0045	0.0044	0.0048	0.0045	0.0037	0.0044	0.0041	0.0041	0.004
sad_vc_pvals	0.762	0.591	0.564	0.049	0.585	0.559	0.943	0.45	0.351	0.471	0.086	0.858	0.385	0.312	0.082	0.344	0.537	0.062	0.147	0.183	0.483	0.9	0.719	0.173	0.356	0.782	0.036	0.028	0.014	0.448	0.328	0.741	0.993	0.039	0.019	0.46	0.53	0.848	0.221	0.596	0.251	0.057	0.082	0.024	0.205	0.866	0.983	0.678	0.666	0.116	0.066	0.141	0.316	0.949	0.945	0.869	0.874	0.547	0.444	0.579	0.965	0.296	0.797	0.038	0.76	0.178	0.035	0.062	0.602	0.625	0.673	0.258	0.248	0.868	0.113	0.942	0.854	0.879	0.275	0.717	0.747	0.819	0.386	0.626	0.416	0.4	0.158	0.558	0.455	0.135	0.689	0.641	0.001	0.876	0.582	0.262	0.834	0.424	0.421	0.024
upper95_perm_sad	0.1139	0.0602	0.0364	0.0674	0.0311	0.075	0.0715	0.1098	0.109	0.0465	0.0601	0.0414	0.0657	0.0777	0.0679	0.0356	0.0543	0.0541	0.0333	0.1203	0.0371	0.029	0.0392	0.0303	0.0416	0.0633	0.0178	0.0606	0.0993	0.0584	0.0484	0.0509	0.0439	0.0271	0.0299	0.0956	0.0262	0.0365	0.0262	0.0313	0.0705	0.0142	0.0803	0.0496	0.0618	0.0456	0.0357	0.0462	0.0314	0.0394	0.029	0.0313	0.0251	0.0307	0.0272	0.0545	0.0378	0.0347	0.0178	0.041	0.0272	0.044	0.0656	0.0615	0.0617	0.0668	0.038	0.0262	0.0367	0.0289	0.0446	0.022	0.0527	0.0399	0.0454	0.0475	0.0236	0.0605	0.0429	0.0721	0.04	0.0222	0.0211	0.1059	0.0439	0.0636	0.0285	0.0724	0.0484	0.0285	0.0355	0.0747	0.0328	0.0336	0.0267	0.0169	0.0472	0.0279	0.0374	0.0275
lower0_perm_sad	-0.0055	-0.0029	-0.0015	-0.0024	-0.0019	-0.0048	-0.0019	-0.0045	-0.007	-0.0016	-0.0028	-0.002	-0.0034	-0.0031	-0.0016	-0.0022	-0.0036	-0.0018	-0.0018	-0.0025	-0.0023	-0.002	-0.0027	-0.0021	-0.0021	-0.0021	-0.0017	-0.0023	-0.0024	-0.0018	-0.0019	-0.0018	-0.0017	-0.002	-0.0023	-0.0016	-0.0022	-0.002	-0.0019	-0.0021	-0.0017	-0.002	-0.0023	-0.0016	-0.0018	-0.0018	-0.0014	-0.0017	-0.002	-0.0018	-0.0015	-0.0017	-0.0017	-0.0014	-0.0016	-0.0016	-0.0018	-0.0014	-0.0017	-0.0016	-0.0019	-0.0023	-0.0019	-0.0021	-0.002	-0.0018	-0.0016	-0.0013	-0.0018	-0.0018	-0.0018	-0.0017	-0.0016	-0.002	-0.0015	-0.0018	-0.0013	-0.0013	-0.0021	-0.0015	-0.0019	-0.0018	-0.0015	-0.0022	-0.0016	-0.0015	-0.0018	-0.0016	-0.0019	-0.0015	-0.0018	-0.0017	-0.0015	-0.0017	-0.0018	-0.0013	-0.0014	-0.0016	-0.0014	-0.0013
