	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0176	0.0284	-0.0013	-0.0041	-0.0046	0.0132	-0.0009	-0.0031	0.0163	-0.005	-0.0023	-0.0043	-0.0031	-0.005	-0.0053	0.0126	0.0073	-0.0009	-0.0052	0.0197	-0.006	0.0009	0.0155	0.0122	-0.0003	-0.0051	-0.0043	-0.0047	-0.0007	0.0053	0.0019	-0.0036	0.0209	-0.0031	-0.0047	-0.0034	0.0195	0.0081	-0.0008	0.0005	0.0005	-0.0046	0.0019	-0.005	0.0017	-0.0059	-0.0029	-0.0045	-0.0054	0.01	0.0064	0.0005	0.0125	-0.0002	0.0054	0.0191	-0.0049	0.0102	-0.0041	-0.006	0.0037	-0.0023	-0.0015	-0.0047	-0.005	-0.0049	-0.005	0.0033	-0.0041	-0.0027	-0.0022	0.0128	0.0004	-0.0013	0.0035	-0.0	0.0079	-0.0056	0.1166	0.0022	-0.0046	0.0335	0.0053	-0.0049	-0.0034	-0.0027	0.0003	-0.0035	0.0125	0.0103	0.0057	-0.0	-0.0044	-0.0049	0.008	0.001	0.0037	0.0075	-0.0047	0.0316
direct_vc_estimate_se	0.0033	0.0015	0.001	0.0011	0.0009	0.001	0.001	0.001	0.0011	0.001	0.001	0.001	0.001	0.0009	0.0012	0.0011	0.001	0.001	0.001	0.0009	0.0011	0.0008	0.001	0.0008	0.0012	0.001	0.0009	0.001	0.0011	0.0009	0.0009	0.0009	0.0009	0.0008	0.0009	0.0009	0.001	0.001	0.0009	0.0009	0.0009	0.0009	0.0011	0.0009	0.001	0.0011	0.0009	0.0009	0.001	0.0009	0.0009	0.0009	0.0008	0.0009	0.0008	0.0009	0.0009	0.0011	0.0008	0.0011	0.0009	0.0008	0.0009	0.0009	0.0009	0.001	0.0009	0.0008	0.0008	0.0009	0.0009	0.0008	0.0009	0.0008	0.001	0.0011	0.0008	0.0012	0.001	0.0011	0.0009	0.0009	0.0008	0.0009	0.0008	0.0009	0.001	0.0009	0.0008	0.0009	0.0009	0.0009	0.0008	0.0009	0.0008	0.0008	0.0009	0.0008	0.0009	0.0009
direct_vc_pvals	0.907	0.196	0.516	0.668	0.842	0.395	0.481	0.669	0.204	0.823	0.603	0.784	0.674	0.911	0.831	0.22	0.344	0.644	0.903	0.125	0.915	0.412	0.244	0.187	0.54	0.933	0.77	0.856	0.543	0.409	0.426	0.734	0.122	0.665	0.963	0.742	0.16	0.397	0.592	0.538	0.443	0.938	0.46	0.96	0.335	0.992	0.681	0.835	0.995	0.334	0.197	0.482	0.16	0.502	0.229	0.104	0.876	0.262	0.813	0.886	0.438	0.584	0.553	0.922	0.915	0.82	0.92	0.278	0.948	0.644	0.573	0.168	0.525	0.55	0.275	0.523	0.239	0.819	0.001	0.419	0.907	0.028	0.188	0.89	0.751	0.627	0.523	0.702	0.182	0.204	0.298	0.63	0.964	0.879	0.295	0.451	0.429	0.228	0.922	0.087
upper95_perm_direct	0.0938	0.0943	0.042	0.046	0.0522	0.0757	0.0337	0.0479	0.0582	0.0398	0.0577	0.0455	0.0424	0.0394	0.0563	0.0494	0.0477	0.074	0.058	0.0409	0.0565	0.0343	0.0551	0.0403	0.083	0.053	0.0442	0.0792	0.0549	0.0485	0.0372	0.0388	0.0428	0.0286	0.0423	0.0468	0.0489	0.0618	0.0512	0.0532	0.0342	0.0387	0.0602	0.0581	0.03	0.0442	0.0439	0.0398	0.0436	0.0616	0.0252	0.0424	0.0331	0.0477	0.0255	0.0352	0.0388	0.0488	0.0276	0.0487	0.051	0.0264	0.0319	0.0339	0.0498	0.0498	0.0454	0.0281	0.0253	0.0386	0.0331	0.0366	0.0497	0.044	0.0286	0.0598	0.0398	0.0518	0.0586	0.0497	0.0393	0.0339	0.0222	0.0325	0.036	0.0396	0.063	0.0355	0.0393	0.0435	0.0374	0.0633	0.0453	0.0569	0.0447	0.0389	0.0597	0.0323	0.0266	0.0549
lower0_perm_direct	-0.0266	-0.0125	-0.0086	-0.0089	-0.0073	-0.0086	-0.0076	-0.008	-0.0088	-0.0082	-0.0079	-0.0078	-0.0076	-0.0079	-0.0092	-0.0082	-0.0076	-0.0081	-0.008	-0.0071	-0.0092	-0.0063	-0.0074	-0.0067	-0.0102	-0.0075	-0.0076	-0.0079	-0.0081	-0.0075	-0.0075	-0.0075	-0.0073	-0.0063	-0.0068	-0.007	-0.008	-0.0081	-0.0068	-0.0066	-0.0067	-0.0069	-0.0088	-0.0071	-0.0079	-0.0086	-0.0072	-0.007	-0.0078	-0.0071	-0.0071	-0.0074	-0.0069	-0.0074	-0.0068	-0.0067	-0.0074	-0.009	-0.0064	-0.0088	-0.0076	-0.0063	-0.0066	-0.0071	-0.0072	-0.0079	-0.0073	-0.0067	-0.0062	-0.0075	-0.0071	-0.0065	-0.0071	-0.0065	-0.0078	-0.009	-0.0066	-0.0092	-0.0084	-0.0085	-0.0069	-0.0074	-0.0066	-0.0074	-0.0068	-0.0072	-0.0075	-0.0069	-0.0061	-0.0074	-0.0074	-0.0066	-0.0067	-0.0074	-0.0064	-0.0063	-0.0078	-0.0065	-0.0071	-0.0072
sad_vc_estimate	0.0054	0.0548	0.032	-0.0046	0.0036	0.025	-0.0054	0.0083	0.0281	-0.0053	0.0007	-0.0014	-0.0016	-0.0052	-0.006	0.0215	0.0229	-0.0052	0.0022	0.032	0.0156	0.0071	0.0057	0.0107	0.0038	-0.0024	0.0058	-0.0031	-0.0058	-0.0039	0.009	-0.0004	0.0055	-0.0029	0.01	-0.0039	0.0117	0.0336	0.0045	-0.0034	-0.0007	-0.0024	-0.0056	-0.0039	-0.0012	-0.0035	0.0026	-0.0024	-0.0021	0.003	0.0195	0.0037	0.0068	-0.005	0.007	0.0421	-0.0042	0.0232	-0.0042	-0.0046	0.0036	0.0014	-0.0047	0.0036	-0.0048	-0.0002	-0.0052	-0.0016	0.001	-0.0017	-0.0037	0.0045	0.0045	-0.0018	0.0121	0.0305	0.0378	-0.0065	0.1288	-0.001	0.0004	0.0393	0.0229	-0.0027	0.0013	-0.005	0.017	-0.0049	-0.0005	0.0165	0.0174	-0.0014	-0.0027	-0.0024	0.0335	0.0029	0.0268	0.004	-0.0047	0.046
sad_vc_estimate_se	0.0033	0.0015	0.001	0.0011	0.001	0.001	0.001	0.001	0.0011	0.001	0.001	0.001	0.001	0.001	0.0012	0.0011	0.001	0.001	0.001	0.0009	0.0011	0.0008	0.001	0.0008	0.0013	0.001	0.0009	0.001	0.0011	0.0009	0.0009	0.0009	0.0009	0.0008	0.0009	0.0009	0.001	0.001	0.0009	0.0009	0.0009	0.0009	0.0011	0.0009	0.001	0.0011	0.0009	0.0009	0.001	0.0009	0.0009	0.001	0.0008	0.0009	0.0008	0.0009	0.0009	0.0011	0.0008	0.0011	0.0009	0.0008	0.0009	0.0009	0.0009	0.001	0.0009	0.0008	0.0008	0.0009	0.0009	0.0008	0.0009	0.0008	0.001	0.0011	0.0008	0.0012	0.001	0.0011	0.0009	0.0009	0.0008	0.0009	0.0008	0.0009	0.001	0.0009	0.0008	0.0009	0.0009	0.0009	0.0008	0.0009	0.0008	0.0008	0.0009	0.0009	0.0009	0.0009
sad_vc_pvals	0.416	0.163	0.109	0.814	0.458	0.405	0.993	0.439	0.181	0.897	0.523	0.608	0.605	0.956	0.887	0.211	0.201	0.888	0.519	0.119	0.294	0.33	0.522	0.261	0.45	0.667	0.408	0.824	0.979	0.754	0.324	0.598	0.42	0.686	0.332	0.828	0.385	0.247	0.39	0.75	0.551	0.722	0.874	0.787	0.586	0.656	0.533	0.681	0.64	0.439	0.111	0.446	0.367	0.983	0.309	0.074	0.799	0.15	0.868	0.736	0.474	0.408	0.978	0.437	0.88	0.569	0.983	0.605	0.413	0.617	0.76	0.38	0.445	0.642	0.221	0.172	0.061	0.959	0.004	0.642	0.52	0.043	0.06	0.651	0.491	0.903	0.231	0.981	0.591	0.225	0.19	0.675	0.725	0.656	0.112	0.481	0.143	0.389	0.944	0.033
upper95_perm_sad	0.162	0.1408	0.0698	0.0849	0.0703	0.1149	0.047	0.0821	0.0748	0.0505	0.0626	0.0596	0.064	0.0639	0.0933	0.0868	0.0669	0.0797	0.0709	0.0647	0.0825	0.0496	0.0767	0.0488	0.0827	0.0724	0.0687	0.1186	0.0591	0.0491	0.0574	0.058	0.0607	0.0341	0.072	0.0733	0.0892	0.1222	0.0524	0.0614	0.0448	0.0607	0.0717	0.0715	0.0507	0.0558	0.0731	0.0588	0.0627	0.0546	0.0409	0.0591	0.0562	0.0639	0.0486	0.0605	0.0634	0.0576	0.0394	0.0576	0.0659	0.0432	0.0574	0.0605	0.0791	0.0697	0.0596	0.0391	0.0345	0.0521	0.0472	0.046	0.0657	0.0532	0.0469	0.0787	0.053	0.0623	0.0798	0.0903	0.0535	0.0455	0.0328	0.0494	0.0513	0.0404	0.0626	0.0586	0.0607	0.0631	0.0601	0.0757	0.0496	0.0665	0.0668	0.0484	0.0621	0.046	0.0406	0.0503
lower0_perm_sad	-0.0275	-0.0122	-0.008	-0.0092	-0.0074	-0.008	-0.0082	-0.0078	-0.0083	-0.0082	-0.0078	-0.0076	-0.0078	-0.0078	-0.009	-0.0086	-0.008	-0.0082	-0.008	-0.0074	-0.0088	-0.0067	-0.0074	-0.0067	-0.0097	-0.0073	-0.0072	-0.0085	-0.0084	-0.0072	-0.007	-0.007	-0.0078	-0.0067	-0.0067	-0.0069	-0.0084	-0.0079	-0.0067	-0.0066	-0.007	-0.0067	-0.0086	-0.0073	-0.0082	-0.0089	-0.0075	-0.0069	-0.008	-0.0071	-0.0069	-0.0074	-0.0066	-0.0071	-0.0065	-0.0067	-0.0073	-0.0084	-0.0063	-0.0088	-0.0072	-0.0067	-0.007	-0.0072	-0.0072	-0.0081	-0.0075	-0.0068	-0.006	-0.0072	-0.0067	-0.0066	-0.0071	-0.007	-0.0075	-0.0085	-0.0065	-0.0093	-0.0078	-0.0091	-0.007	-0.0073	-0.0065	-0.0072	-0.0066	-0.0077	-0.0079	-0.0072	-0.0065	-0.0076	-0.007	-0.0071	-0.0063	-0.0074	-0.0067	-0.0062	-0.0074	-0.0068	-0.0072	-0.0071
