	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0383	0.0197	0.032	-0.0041	-0.0134	-0.0016	0.0025	0.0098	0.0134	0.1478	-0.0062	0.016	-0.0044	0.016	0.003	-0.0045	0.0207	-0.0052	0.0107	-0.0009	0.0099	0.0178	-0.0099	0.0014	0.045	0.0026	0.0022	-0.0059	0.039	-0.0088	0.0243	0.05	0.0067	-0.0009	0.0378	0.0223	-0.0065	-0.0017	0.0012	0.0111	0.0074	-0.0062	0.0201	0.0111	0.0082	-0.0064	-0.0002	0.0262	0.044	0.0975	-0.0115	-0.0026	-0.0025	0.0235	0.0107	-0.0038	0.013	0.0228	-0.0009	0.0109	0.0333	0.0057	0.0104	0.0952	0.0323	0.0655	-0.0044	0.0465	0.0666	0.0028	-0.004	-0.008	-0.0098	-0.0043	-0.0024	0.0515	0.072	-0.0049	-0.0058	0.0714	-0.001	-0.0089	-0.0081	0.0124	-0.0039	0.0158	0.0093	-0.0016	0.0115	0.0079	0.0084	-0.0045	-0.0037	0.0339	-0.0023	0.0091	-0.0036	0.0091	0.0048	0.0398
direct_vc_estimate_se	0.0038	0.0008	0.0006	0.0006	0.001	0.0003	0.0005	0.0005	0.0005	0.0011	0.0008	0.0004	0.0005	0.0004	0.0005	0.0007	0.0013	0.0004	0.0002	0.0005	0.0005	0.0005	0.0008	0.0006	0.0009	0.0006	0.0006	0.0008	0.0005	0.0006	0.0006	0.0005	0.0006	0.0005	0.0004	0.0007	0.0005	0.0004	0.0008	0.0005	0.0006	0.0005	0.0004	0.0006	0.0006	0.0005	0.0004	0.0004	0.0007	0.0008	0.0008	0.0004	0.0005	0.0007	0.0007	0.0006	0.0005	0.0005	0.0005	0.0009	0.0007	0.0004	0.0008	0.0006	0.0008	0.0004	0.0006	0.0007	0.0009	0.0004	0.0003	0.0007	0.0009	0.0004	0.0003	0.0007	0.0009	0.0004	0.0005	0.0006	0.0002	0.0012	0.0006	0.0006	0.0003	0.0011	0.0004	0.0006	0.0003	0.0005	0.0005	0.0004	0.0004	0.0004	0.0004	0.0006	0.0006	0.0003	0.0004	0.0005
direct_vc_pvals	0.931	0.282	0.163	0.613	0.842	0.462	0.455	0.287	0.157	0.022	0.69	0.028	0.631	0.21	0.473	0.634	0.461	0.94	0.081	0.277	0.112	0.067	0.874	0.272	0.07	0.567	0.471	0.457	0.042	0.87	0.11	0.049	0.306	0.457	0.032	0.278	0.959	0.618	0.547	0.272	0.316	0.739	0.138	0.287	0.335	0.842	0.504	0.079	0.026	0.03	0.891	0.675	0.363	0.296	0.388	0.381	0.38	0.27	0.561	0.327	0.136	0.193	0.289	0.011	0.172	0.047	0.598	0.159	0.11	0.321	0.916	0.769	0.864	0.538	0.596	0.009	0.084	0.946	0.906	0.053	0.49	0.726	0.753	0.076	0.737	0.488	0.147	0.517	0.222	0.49	0.214	0.754	0.617	0.077	0.564	0.45	0.585	0.12	0.375	0.014
upper95_perm_direct	0.2496	0.0771	0.0514	0.0547	0.0587	0.0074	0.0409	0.0298	0.0266	0.1155	0.043	0.0129	0.0302	0.044	0.059	0.0421	0.0936	0.0222	0.0124	0.0099	0.015	0.0186	0.0384	0.0211	0.0483	0.0823	0.0402	0.017	0.0353	0.0278	0.035	0.0469	0.0428	0.0336	0.0305	0.0565	0.0337	0.0244	0.1106	0.0436	0.0398	0.0024	0.026	0.0396	0.0526	0.025	0.0223	0.0286	0.0327	0.0859	0.0435	0.0345	0.0061	0.1027	0.0688	0.011	0.0453	0.056	0.0432	0.0655	0.0551	0.0167	0.0399	0.0651	0.064	0.0613	0.0202	0.0837	0.0859	0.018	0.0306	0.0779	0.1228	0.0095	0.0104	0.0335	0.078	0.0276	0.0233	0.0685	0.01	0.1129	0.0101	0.0142	0.0102	0.0849	0.0162	0.034	0.0254	0.0713	0.0236	0.0352	0.0268	0.0375	0.0262	0.0621	0.0408	0.0144	0.0271	0.0236
lower0_perm_direct	-0.0534	-0.0113	-0.0085	-0.0087	-0.0144	-0.004	-0.0076	-0.0071	-0.0069	-0.0161	-0.0124	-0.0067	-0.0079	-0.0053	-0.008	-0.0109	-0.0188	-0.0055	-0.0027	-0.0077	-0.0074	-0.0072	-0.0112	-0.0095	-0.0131	-0.0096	-0.0083	-0.0118	-0.0072	-0.0095	-0.0092	-0.0078	-0.009	-0.0076	-0.005	-0.0099	-0.0068	-0.0058	-0.0122	-0.0076	-0.0088	-0.0069	-0.0054	-0.0085	-0.0092	-0.0074	-0.0057	-0.0061	-0.0106	-0.0119	-0.0127	-0.0056	-0.0068	-0.0107	-0.0097	-0.0084	-0.0078	-0.0074	-0.008	-0.0132	-0.0102	-0.006	-0.0114	-0.0079	-0.0128	-0.0067	-0.0088	-0.0103	-0.0134	-0.0052	-0.0043	-0.0103	-0.0131	-0.0065	-0.0039	-0.0098	-0.0126	-0.0053	-0.0077	-0.0094	-0.0033	-0.0181	-0.0095	-0.0095	-0.0047	-0.0162	-0.0067	-0.0086	-0.0049	-0.0076	-0.0067	-0.0063	-0.0066	-0.0063	-0.0056	-0.0089	-0.0086	-0.0045	-0.0055	-0.0078
sad_vc_estimate	0.0471	0.0028	0.0481	0.0213	-0.0137	-0.0015	0.0325	0.0056	0.012	0.25	-0.01	0.0231	0.0021	0.0183	0.0082	-0.0074	0.0912	0.0003	0.009	-0.0072	0.0057	0.0441	-0.0082	0.0188	0.0791	-0.0029	0.0087	-0.0112	0.0688	-0.0084	0.0162	0.105	0.033	-0.0057	0.0527	0.0027	-0.0053	0.0109	-0.0093	0.036	-0.001	-0.006	0.0374	0.0006	0.0045	-0.0069	0.0101	0.0564	0.0344	0.1115	-0.0072	-0.0053	-0.0021	0.0176	0.0293	-0.0079	0.0001	0.0322	0.0171	-0.0023	0.0522	0.0176	0.0018	0.0988	0.0243	0.0617	-0.0062	0.0611	0.1198	0.0106	-0.0039	0.0153	-0.0124	-0.0054	0.0033	0.102	0.0905	-0.005	0.0043	0.1133	-0.0018	-0.014	-0.0084	0.0218	-0.0027	0.0609	0.0194	-0.0081	0.0089	0.0015	0.0135	0.0009	0.0084	0.0378	-0.003	0.0456	-0.0026	0.0097	0.0185	0.0744
sad_vc_estimate_se	0.0038	0.0008	0.0006	0.0006	0.001	0.0003	0.0005	0.0005	0.0005	0.0011	0.0008	0.0004	0.0005	0.0004	0.0005	0.0007	0.0013	0.0004	0.0002	0.0005	0.0005	0.0005	0.0008	0.0006	0.0009	0.0006	0.0006	0.0008	0.0005	0.0006	0.0006	0.0005	0.0006	0.0005	0.0004	0.0007	0.0005	0.0004	0.0008	0.0005	0.0006	0.0005	0.0004	0.0006	0.0006	0.0005	0.0004	0.0004	0.0007	0.0008	0.0008	0.0004	0.0005	0.0007	0.0007	0.0006	0.0005	0.0005	0.0005	0.0009	0.0007	0.0004	0.0008	0.0006	0.0008	0.0005	0.0006	0.0007	0.0009	0.0004	0.0003	0.0007	0.0009	0.0004	0.0003	0.0007	0.0009	0.0004	0.0005	0.0006	0.0002	0.0012	0.0006	0.0006	0.0003	0.0011	0.0004	0.0006	0.0003	0.0005	0.0005	0.0004	0.0004	0.0004	0.0004	0.0006	0.0006	0.0003	0.0004	0.0005
sad_vc_pvals	0.866	0.457	0.164	0.346	0.993	0.365	0.259	0.364	0.097	0.015	0.743	0.045	0.555	0.278	0.538	0.754	0.341	0.506	0.155	0.963	0.5	0.027	0.921	0.214	0.14	0.727	0.267	0.986	0.009	0.84	0.134	0.011	0.098	0.768	0.032	0.472	0.795	0.5	0.816	0.157	0.597	0.757	0.193	0.41	0.523	0.932	0.277	0.053	0.165	0.017	0.627	0.967	0.269	0.45	0.242	0.971	0.658	0.21	0.446	0.56	0.061	0.057	0.418	0.013	0.16	0.021	0.625	0.292	0.051	0.276	0.921	0.457	0.933	0.745	0.264	0.001	0.232	0.968	0.881	0.053	0.634	0.947	0.824	0.11	0.487	0.473	0.029	0.935	0.358	0.581	0.286	0.585	0.389	0.106	0.743	0.45	0.563	0.142	0.282	0.014
upper95_perm_sad	0.5272	0.0716	0.0675	0.0675	0.0744	0.0039	0.0613	0.0257	0.016	0.2	0.066	0.0207	0.0543	0.0466	0.0723	0.0575	0.1716	0.0336	0.0168	0.013	0.0405	0.0355	0.0661	0.0385	0.1015	0.1247	0.0384	0.0254	0.0505	0.0337	0.029	0.0719	0.0478	0.0544	0.0415	0.0671	0.0408	0.0416	0.1266	0.0604	0.0639	0.0084	0.0479	0.0324	0.0691	0.0501	0.0282	0.0538	0.0464	0.0887	0.0407	0.0299	0.005	0.1208	0.0743	0.0114	0.0562	0.0646	0.0666	0.0714	0.0531	0.018	0.0562	0.0741	0.0477	0.0448	0.0184	0.1488	0.1127	0.0256	0.0362	0.1022	0.1074	0.027	0.0156	0.0661	0.1595	0.0158	0.0461	0.1082	0.0122	0.1871	0.0216	0.032	0.0045	0.1281	0.0144	0.0443	0.0366	0.0677	0.0416	0.0384	0.0338	0.0438	0.0427	0.1139	0.0428	0.0173	0.0429	0.0533
lower0_perm_sad	-0.0478	-0.0113	-0.008	-0.0088	-0.0145	-0.0039	-0.0076	-0.0072	-0.0071	-0.0156	-0.0128	-0.0066	-0.0079	-0.0055	-0.0081	-0.0109	-0.0158	-0.0056	-0.0027	-0.0076	-0.0071	-0.0071	-0.0115	-0.0091	-0.0129	-0.0096	-0.0083	-0.012	-0.0071	-0.0098	-0.0095	-0.0075	-0.0091	-0.0075	-0.0052	-0.0099	-0.0069	-0.0054	-0.0122	-0.0077	-0.0088	-0.0069	-0.0052	-0.0084	-0.0096	-0.0076	-0.0058	-0.006	-0.0104	-0.0119	-0.0123	-0.0054	-0.0069	-0.0107	-0.0097	-0.0083	-0.0078	-0.0077	-0.008	-0.0128	-0.01	-0.006	-0.0112	-0.0078	-0.0128	-0.0067	-0.009	-0.0106	-0.0131	-0.005	-0.0044	-0.0104	-0.0133	-0.0066	-0.0039	-0.0097	-0.0127	-0.0053	-0.0036	-0.0088	-0.0033	-0.0181	-0.0092	-0.0093	-0.0048	-0.0083	-0.0066	-0.0085	-0.0049	-0.0075	-0.0069	-0.0063	-0.0065	-0.0062	-0.0056	-0.0089	-0.0085	-0.0045	-0.0054	-0.0077
